pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.52651,0.197216,-2.21359,0.00950171,-0.549207,0.197216,All
-0.517627,0.199536,-2.2117,0.0096122,-0.548833,0.199536,All
-0.505922,0.201856,-2.20767,0.00972268,-0.548163,0.201856,All
-0.498222,0.204176,-2.2026,0.00983317,-0.547511,0.204176,All
-0.493801,0.206497,-2.20142,0.00994365,-0.54689,0.206497,All
-0.493486,0.208817,-2.20105,0.0100541,-0.543949,0.208817,All
-0.490175,0.211137,-2.1988,0.0101646,-0.539517,0.211137,All
-0.488809,0.213457,-2.19704,0.0102751,-0.527207,0.213457,All
-0.480982,0.215777,-2.18734,0.0103856,-0.524503,0.215777,All
-0.479509,0.218097,-2.18651,0.0104961,-0.524243,0.218097,All
-0.470566,0.220418,-2.18523,0.0106066,-0.523426,0.220418,All
-0.465867,0.222738,-2.18469,0.010717,-0.522751,0.222738,All
-0.464698,0.225058,-2.17795,0.0108275,-0.514045,0.225058,All
-0.463263,0.227378,-2.17683,0.010938,-0.512686,0.227378,All
-0.458562,0.229698,-2.17446,0.0110485,-0.504917,0.229698,All
-0.458517,0.232019,-2.17349,0.011159,-0.503891,0.232019,All
-0.458033,0.234339,-2.16904,0.0112695,-0.500944,0.234339,All
-0.456374,0.236659,-2.1616,0.01138,-0.492272,0.236659,All
-0.453446,0.238979,-2.15607,0.0114904,-0.491787,0.238979,All
-0.447552,0.241299,-2.15403,0.0116009,-0.48499,0.241299,All
-0.436667,0.243619,-2.14939,0.0117114,-0.482475,0.243619,All
-0.436235,0.24594,-2.1485,0.0118219,-0.475678,0.24594,All
-0.430153,0.24826,-2.1459,0.0119324,-0.475343,0.24826,All
-0.426069,0.25058,-2.14395,0.0120429,-0.475039,0.25058,All
-0.421644,0.2529,-2.14019,0.0121534,-0.473303,0.2529,All
-0.412209,0.25522,-2.12985,0.0122638,-0.472545,0.25522,All
-0.408047,0.257541,-2.12825,0.0123743,-0.471553,0.257541,All
-0.407123,0.259861,-2.12599,0.0124848,-0.470148,0.259861,All
-0.405494,0.262181,-2.12581,0.0125953,-0.468984,0.262181,All
-0.399213,0.264501,-2.1198,0.0127058,-0.46862,0.264501,All
-0.394523,0.266821,-2.11788,0.0128163,-0.464305,0.266821,All
-0.392441,0.269142,-2.11622,0.0129267,-0.461488,0.269142,All
-0.385414,0.271462,-2.11525,0.0130372,-0.448739,0.271462,All
-0.377034,0.273782,-2.11235,0.0131477,-0.446201,0.273782,All
-0.376397,0.276102,-2.10891,0.0132582,-0.445856,0.276102,All
-0.372138,0.278422,-2.10435,0.0133687,-0.441286,0.278422,All
