tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-5.62006,0.05,1.21394e-08,0.0507937,0.433593,0.0507937,5738.62,0.05,All
-5.60451,0.0507937,1.21643e-08,0.0515873,0.433918,0.0515873,5745.65,0.0507937,All
-5.54882,0.0515873,1.22362e-08,0.052381,0.434002,0.052381,5746.79,0.0515873,All
-5.54044,0.052381,1.22493e-08,0.0531746,0.434595,0.0531746,5748.56,0.052381,All
-5.53314,0.0531746,1.23135e-08,0.0539683,0.43511,0.0539683,5754.17,0.0531746,All
-5.53056,0.0539683,1.23237e-08,0.0547619,0.43649,0.0547619,5754.38,0.0539683,All
-5.52574,0.0547619,1.23273e-08,0.0555556,0.438917,0.0555556,5769.98,0.0547619,All
-5.51913,0.0555556,1.23356e-08,0.0563492,0.440904,0.0563492,5770.19,0.0555556,All
-5.51913,0.0563492,1.24403e-08,0.0571429,0.442358,0.0571429,5789.05,0.0563492,All
-5.50932,0.0571429,1.24621e-08,0.0579365,0.44369,0.0579365,5789.38,0.0571429,All
-5.50289,0.0579365,1.24923e-08,0.0587302,0.443743,0.0587302,5798.94,0.0579365,All
-5.49654,0.0587302,1.25013e-08,0.0595238,0.444285,0.0595238,5799.02,0.0587302,All
-5.46018,0.0595238,1.26289e-08,0.0603175,0.448191,0.0603175,5800.88,0.0595238,All
-5.39816,0.0603175,1.2629e-08,0.0611111,0.452359,0.0611111,5801.01,0.0603175,All
-5.39326,0.0611111,1.26306e-08,0.0619048,0.453141,0.0619048,5815.03,0.0611111,All
-5.37974,0.0619048,1.26574e-08,0.0626984,0.454919,0.0626984,5816.22,0.0619048,All
-5.37974,0.0626984,1.27945e-08,0.0634921,0.455279,0.0634921,5817.46,0.0626984,All
-5.36998,0.0634921,1.28144e-08,0.0642857,0.457556,0.0642857,5846.21,0.0634921,All
-5.36475,0.0642857,1.28389e-08,0.0650794,0.45779,0.0650794,5846.27,0.0642857,All
-5.35291,0.0650794,1.28975e-08,0.065873,0.458979,0.065873,5860.65,0.0650794,All
-5.346,0.065873,1.29093e-08,0.0666667,0.464755,0.0666667,5863.78,0.065873,All
-5.31275,0.0666667,1.29748e-08,0.0674603,0.464916,0.0674603,5870.05,0.0666667,All
-5.30629,0.0674603,1.29777e-08,0.068254,0.466889,0.068254,5875.48,0.0674603,All
-5.30542,0.068254,1.29796e-08,0.0690476,0.467889,0.0690476,5876.34,0.068254,All
-5.30113,0.0690476,1.29911e-08,0.0698413,0.468046,0.0698413,5879.13,0.0690476,All
-5.2922,0.0698413,1.30174e-08,0.0706349,0.468804,0.0706349,5884.07,0.0698413,All
-5.2697,0.0706349,1.31104e-08,0.0714286,0.472339,0.0714286,5897.94,0.0706349,All
-5.26571,0.0714286,1.31238e-08,0.0722222,0.474473,0.0722222,5899.6,0.0714286,All
-5.26066,0.0722222,1.31324e-08,0.0730159,0.47528,0.0730159,5899.91,0.0722222,All
-5.25225,0.0730159,1.31526e-08,0.0738095,0.477359,0.0738095,5908.17,0.0730159,All
-5.24702,0.0738095,1.32064e-08,0.0746032,0.477558,0.0746032,5917.89,0.0738095,All
-5.24413,0.0746032,1.3361e-08,0.0753968,0.477827,0.0753968,5924.76,0.0746032,All
-5.22576,0.0753968,1.3369e-08,0.0761905,0.479627,0.0761905,5925.87,0.0753968,All
-5.21066,0.0761905,1.33812e-08,0.0769841,0.47974,0.0769841,5930.71,0.0761905,All
-5.20423,0.0769841,1.34277e-08,0.0777778,0.481255,0.0777778,5934.37,0.0769841,All
-5.17324,0.0777778,1.34552e-08,0.0785714,0.48173,0.0785714,5935.23,0.0777778,All
-5.1658,0.0785714,1.34744e-08,0.0793651,0.483151,0.0793651,5940.22,0.0785714,All
-5.15984,0.0793651,1.34828e-08,0.0801587,0.490271,0.0801587,5948.29,0.0793651,All
-5.15559,0.0801587,1.3538e-08,0.0809524,0.490545,0.0809524,5959.73,0.0801587,All
-5.14819,0.0809524,1.35564e-08,0.081746,0.493139,0.081746,5959.87,0.0809524,All
-5.14563,0.081746,1.35645e-08,0.0825397,0.494492,0.0825397,5960.36,0.081746,All
