ID,time,pop,popPred,indivPredMean,indivPredMode
1,5.464,5.11715,6.90999,5.93046,5.89395
1,5.58203,5.06801,6.86098,5.86247,5.82316
1,5.608,5.0572,6.8502,5.8475,5.80758
1,5.71508,5.01261,6.80571,5.78582,5.74336
1,5.752,4.99724,6.79036,5.76454,5.72121
1,5.8513,4.9559,6.74908,5.70734,5.66165
1,5.896,4.93729,6.7305,5.68158,5.63483
1,5.99076,4.89783,6.69109,5.62698,5.57798
1,6,4.89398,6.68725,5.62166,5.57244
1,6.04,4.87733,6.67061,5.59862,5.54844
1,6.13355,4.83838,6.63169,5.54471,5.49232
1,6.184,4.81738,6.61071,5.51565,5.46206
1,6.27975,4.77751,6.57087,5.46048,5.40462
1,6.328,4.75742,6.55079,5.43268,5.37567
1,6.42943,4.71519,6.50858,5.37424,5.31482
1,6.472,4.69746,6.49087,5.34971,5.28928
1,6.58267,4.65139,6.4448,5.28595,5.22288
1,6.616,4.63751,6.43093,5.26675,5.20288
1,6.73957,4.58606,6.3795,5.19555,5.12875
1,6.76,4.57755,6.371,5.18378,5.11649
1,6.90021,4.51918,6.31263,5.10299,5.03237
1,6.904,4.5176,6.31105,5.10081,5.0301
1,7.048,4.45764,6.25111,5.01784,4.9437
1,7.06468,4.4507,6.24417,5.00823,4.93369
1,7.192,4.39769,6.19116,4.93487,4.85731
1,7.23307,4.38059,6.17407,4.91121,4.83267
1,7.336,4.33773,6.13121,4.8519,4.77091
1,7.40547,4.30881,6.10229,4.81187,4.72923
1,7.48,4.27778,6.07126,4.76893,4.68451
1,7.58198,4.23532,6.02881,4.71017,4.62333
1,7.624,4.21782,6.01131,4.68596,4.59812
1,7.76269,4.16008,5.95357,4.60604,4.5149
1,7.768,4.15787,5.95136,4.60299,4.51172
1,7.912,4.09791,5.89141,4.52002,4.42532
1,7.94772,4.08304,5.87653,4.49944,4.40389
1,8.056,4.03796,5.83145,4.43705,4.33893
1,8.13715,4.00417,5.79766,4.39029,4.29024
1,8.2,3.978,5.7715,4.35408,4.25253
1,8.3311,3.92342,5.71691,4.27854,4.17387
1,8.344,3.91805,5.71154,4.27111,4.16613
1,8.488,3.85809,5.65159,4.18814,4.07974
1,8.52968,3.84074,5.63424,4.16412,4.05473
1,8.632,3.79814,5.59164,4.10517,3.99334
1,8.73298,3.75609,5.54959,4.04698,3.93275
1,8.776,3.73818,5.53168,4.0222,3.90694
1,8.92,3.67823,5.47173,3.93923,3.82054
1,8.94114,3.66943,5.46293,3.92705,3.80786
1,9,3.64492,5.43842,3.89313,3.77255
1,9.064,3.61827,5.41177,3.85626,3.73415
1,9.15425,3.5807,5.3742,3.80426,3.68
1,9.208,3.55832,5.35182,3.77329,3.64775
1,9.352,3.49836,5.29186,3.69032,3.56135
1,9.37244,3.48985,5.28335,3.67854,3.54909
1,9.496,3.43841,5.23191,3.60735,3.47496
