iteration,convergenceIndicator,phase,tin_pop,beta_tin_source_Neant,beta_tin_source_Wolfel,beta_pop,delta_pop,p_pop,omega_tin,omega_beta,omega_delta,omega_p,a
198,870.008,2,-4.97877,0.21428,0.0591401,2.25262e-08,0.95601,7252.13,0.0707398,0.390489,0.68348,0.1451,1.42196
199,828.383,2,-4.92632,0.21171,0.0554236,2.24558e-08,0.955779,7261.33,0.0706358,0.387443,0.685029,0.144337,1.41937
200,884.598,2,-4.88863,0.209457,0.0511116,2.24097e-08,0.956533,7263.55,0.0716311,0.384792,0.683421,0.144516,1.4232
201,847.529,2,-4.88842,0.209392,0.0504218,2.237e-08,0.956028,7262.38,0.0716079,0.385139,0.683216,0.144183,1.42379
202,879.811,2,-4.88168,0.209079,0.0493607,2.23601e-08,0.954873,7261.48,0.0715745,0.385841,0.683283,0.144163,1.42355
203,914.562,2,-4.87246,0.208777,0.048801,2.232e-08,0.954372,7260.76,0.0714472,0.38618,0.683205,0.144187,1.42482
204,882.159,2,-4.86295,0.208139,0.0479133,2.23274e-08,0.954383,7259.55,0.0714316,0.385856,0.68344,0.14407,1.4257
205,834.576,2,-4.86319,0.208435,0.0480002,2.23186e-08,0.954941,7259.75,0.0713969,0.384788,0.683077,0.144085,1.42588
206,833.541,2,-4.86275,0.20832,0.0481938,2.23139e-08,0.955039,7260.74,0.0715143,0.384169,0.683373,0.143859,1.42644
207,879.878,2,-4.86506,0.208669,0.0482978,2.23094e-08,0.95525,7258.37,0.0715999,0.3839,0.683558,0.14412,1.42664
208,926.279,2,-4.86195,0.208731,0.048019,2.23439e-08,0.955718,7255.24,0.0717092,0.383324,0.684592,0.144468,1.42744
209,929.512,2,-4.87146,0.209195,0.0486517,2.23631e-08,0.955109,7254.44,0.0718358,0.383345,0.685776,0.145055,1.42731
210,871.384,2,-4.87327,0.209332,0.048567,2.23661e-08,0.9546,7251.94,0.0717959,0.385217,0.684998,0.144962,1.42644
211,834.475,2,-4.88066,0.209854,0.0483105,2.23843e-08,0.954041,7249.45,0.071706,0.3854,0.685253,0.144707,1.42635
212,802.63,2,-4.88696,0.21048,0.0479906,2.23774e-08,0.954754,7249.56,0.0716445,0.384362,0.684635,0.144322,1.42612
213,833.223,2,-4.89119,0.210828,0.0484412,2.23746e-08,0.954926,7249.46,0.0717321,0.383538,0.683724,0.144106,1.42549
214,851.519,2,-4.89647,0.211269,0.0486943,2.23785e-08,0.95492,7251.15,0.0717397,0.382973,0.683262,0.144243,1.42511
215,853.334,2,-4.9026,0.21156,0.0489009,2.23825e-08,0.954884,7253.02,0.0718201,0.382727,0.68435,0.144094,1.42441
216,869.322,2,-4.91232,0.212086,0.0492665,2.23626e-08,0.955006,7257.8,0.0719377,0.38294,0.684425,0.144115,1.42392
217,880.507,2,-4.92309,0.21295,0.0498947,2.23365e-08,0.955136,7258.91,0.0719701,0.383057,0.684113,0.1442,1.4241
218,866.644,2,-4.93057,0.213553,0.0503312,2.23288e-08,0.954761,7258.37,0.071924,0.383364,0.683634,0.144283,1.42405
219,826.693,2,-4.93315,0.213772,0.0501181,2.23247e-08,0.954825,7259.62,0.0718536,0.383439,0.684185,0.144167,1.42408
220,822.189,2,-4.93811,0.214114,0.0502539,2.23257e-08,0.954577,7261.65,0.0717815,0.383566,0.684221,0.144164,1.42307
221,807.744,2,-4.94398,0.214428,0.0506587,2.23201e-08,0.954713,7261.98,0.0716587,0.382934,0.684491,0.143883,1.42253
222,852.653,2,-4.9471,0.214561,0.050798,2.23222e-08,0.955025,7264.01,0.071684,0.383659,0.684419,0.143721,1.42182
223,825.543,2,-4.95121,0.214716,0.0506057,2.2346e-08,0.955381,7265.58,0.0715979,0.383447,0.683792,0.143677,1.4212
224,861.397,2,-4.95583,0.214761,0.0507638,2.23597e-08,0.954842,7265.63,0.0716005,0.384286,0.682456,0.143588,1.42105
225,878.663,2,-4.96583,0.215271,0.0514146,2.23668e-08,0.954691,7263.8,0.0716409,0.384608,0.682046,0.143558,1.42129
226,881.605,2,-4.97102,0.215292,0.0518205,2.23624e-08,0.954949,7263.83,0.0717392,0.385051,0.682746,0.143696,1.42078
227,854.354,2,-4.97426,0.215397,0.0521682,2.23708e-08,0.955012,7262.88,0.0717174,0.385067,0.683374,0.143936,1.42056
228,863.414,2,-4.97806,0.215443,0.0527065,2.24083e-08,0.955751,7263.11,0.0717396,0.385507,0.683251,0.143876,1.42067
229,837.107,2,-4.98158,0.215563,0.0534978,2.23779e-08,0.955962,7263.36,0.0716597,0.385401,0.683533,0.14383,1.42109
230,855.672,2,-4.97989,0.215381,0.0536935,2.23866e-08,0.956505,7266.21,0.0715747,0.385492,0.683141,0.143985,1.42065
231,894.554,2,-4.97853,0.215189,0.0538994,2.23745e-08,0.956418,7267.61,0.0715117,0.385499,0.683498,0.14427,1.42108
232,871.592,2,-4.98098,0.215346,0.0543563,2.23758e-08,0.956534,7267.52,0.0713877,0.385627,0.684444,0.144456,1.42101
233,869.401,2,-4.97912,0.215245,0.0543294,2.23693e-08,0.956824,7269.05,0.0714807,0.385539,0.683764,0.144366,1.42086
234,861.771,2,-4.98094,0.214987,0.0541499,2.23747e-08,0.956609,7269.18,0.0714815,0.385287,0.683004,0.144505,1.42108
235,870.965,2,-4.98047,0.215003,0.0541655,2.23709e-08,0.956345,7270.9,0.0714794,0.385877,0.68329,0.144586,1.42068
236,866.858,2,-4.97755,0.214855,0.0542449,2.23698e-08,0.956475,7270.24,0.0715116,0.386027,0.684533,0.144495,1.42046
237,849.763,2,-4.97748,0.214988,0.0543065,2.23621e-08,0.95652,7274.04,0.0715694,0.385303,0.68504,0.144572,1.42018
238,876.274,2,-4.98162,0.21518,0.0545313,2.2346e-08,0.956602,7275.22,0.0716567,0.385133,0.685023,0.1444,1.42062
239,861.659,2,-4.98314,0.215266,0.0547168,2.2335e-08,0.956749,7274.45,0.0716995,0.384935,0.68502,0.144313,1.42098
240,847.869,2,-4.98339,0.215266,0.0548629,2.23384e-08,0.956834,7275.87,0.0717486,0.384617,0.685646,0.144319,1.42064
241,882.502,2,-4.98844,0.215644,0.0554316,2.23267e-08,0.956774,7274.49,0.0717045,0.384772,0.687276,0.144449,1.42026
242,874.013,2,-4.99413,0.21588,0.0559769,2.23232e-08,0.956697,7272.36,0.0718432,0.384889,0.687804,0.144282,1.42039
243,841.491,2,-4.99593,0.215668,0.0562598,2.23216e-08,0.956916,7274.28,0.0718392,0.384564,0.68817,0.144182,1.42073
244,815.747,2,-4.99466,0.215487,0.0562746,2.23186e-08,0.957296,7274.8,0.0717974,0.383844,0.688645,0.144026,1.42051
245,872.026,2,-4.98963,0.21528,0.0559226,2.23169e-08,0.957868,7277.42,0.0718708,0.384043,0.689415,0.14392,1.42084
246,869.763,2,-4.98876,0.215381,0.0557733,2.2317e-08,0.9583,7277.57,0.0718313,0.384227,0.689343,0.143854,1.42145
247,829.463,2,-4.98868,0.215412,0.0558168,2.2304e-08,0.958403,7277.53,0.0717076,0.384436,0.68864,0.143811,1.42165
248,842.492,2,-4.99055,0.215535,0.0558023,2.23073e-08,0.958571,7280.13,0.0716362,0.384655,0.688379,0.143859,1.42136
249,828.037,2,-4.99982,0.216093,0.0559263,2.22903e-08,0.958601,7280.45,0.0717094,0.384282,0.687864,0.143665,1.42072
250,822.339,2,-5.00167,0.216435,0.0559764,2.22679e-08,0.95874,7280.4,0.0716415,0.384206,0.687619,0.14339,1.42088
251,878.039,2,-5.00431,0.216715,0.0561464,2.22642e-08,0.958891,7280.29,0.0717018,0.384942,0.687613,0.143388,1.4204
252,839.027,2,-5.01047,0.21719,0.0565478,2.22568e-08,0.958778,7280.33,0.0716924,0.384724,0.687725,0.143426,1.41952
253,851.019,2,-5.01168,0.217305,0.0566339,2.22603e-08,0.959012,7278.35,0.0717084,0.384848,0.687513,0.143524,1.41901
254,864.583,2,-5.01257,0.217276,0.0571425,2.22429e-08,0.958888,7276.78,0.0717121,0.385038,0.687357,0.143547,1.4188
255,835.06,2,-5.01146,0.21725,0.0574565,2.22435e-08,0.958826,7277.09,0.0716505,0.385289,0.686734,0.143454,1.41864
256,856.445,2,-5.00687,0.216862,0.057429,2.22362e-08,0.958396,7276.66,0.0716102,0.385173,0.686618,0.143482,1.41877
257,906.422,2,-5.00645,0.216744,0.057731,2.22271e-08,0.958615,7274.58,0.0716084,0.385099,0.687601,0.143432,1.41929
258,865.849,2,-5.00458,0.216408,0.0577185,2.22242e-08,0.958479,7276.73,0.0715759,0.385453,0.687265,0.143485,1.41886
259,860.051,2,-5.00368,0.216458,0.0577765,2.22275e-08,0.958749,7276.25,0.0715593,0.385658,0.687628,0.143368,1.41888
260,855.569,2,-5.00761,0.216699,0.0580837,2.22096e-08,0.958694,7276.37,0.0715628,0.385755,0.688182,0.143245,1.41914
