iteration,convergenceIndicator,phase,tin_pop,beta_tin_source_Neant,beta_tin_source_Wolfel,beta_pop,delta_pop,p_pop,omega_tin,omega_beta,omega_delta,omega_p,a
45,673.224,1,-4.72872,0.175956,0.057504,3.17295e-08,0.935405,5405.15,0.0170638,0.58043,0.63209,0.0922165,1.49542
46,683.852,1,-4.58931,0.167985,0.052333,3.3573e-08,0.857089,5339.19,0.0166317,0.624801,0.616085,0.0906333,1.51846
47,681.194,1,-4.59803,0.167414,0.0495998,3.11605e-08,0.910192,5320.09,0.0162106,0.608981,0.675637,0.0883384,1.48001
48,670.439,1,-4.66017,0.167762,0.0538993,3.07613e-08,0.870783,5276.36,0.0158001,0.593561,0.700907,0.0861016,1.45648
49,717.204,1,-4.66906,0.170425,0.0652261,3.08599e-08,0.860871,5290.61,0.0165333,0.603973,0.698086,0.0965936,1.44761
50,725.478,1,-4.60405,0.16625,0.0552875,3.14327e-08,0.875577,5259.18,0.0168781,0.639484,0.70489,0.0986891,1.41677
51,722.8,1,-4.46608,0.160722,0.0408147,3.11207e-08,0.915281,5291.76,0.0164508,0.623292,0.687622,0.113569,1.42785
52,717.875,1,-4.30745,0.148912,0.0342139,3.1757e-08,0.871602,5235.43,0.0160342,0.60751,0.670211,0.11675,1.42714
53,689.473,1,-4.37628,0.153296,0.0379784,3.20971e-08,0.882141,5137.69,0.0156282,0.592127,0.674656,0.113794,1.391
54,643.829,1,-4.29519,0.150071,0.0337822,3.16202e-08,0.893763,5084.2,0.0152325,0.577134,0.657573,0.110912,1.41815
55,694.712,1,-4.3014,0.149777,0.0300497,2.97095e-08,0.848448,5168.97,0.0150552,0.602794,0.687469,0.108104,1.47887
56,708.05,1,-4.44392,0.156599,0.0336806,3.12262e-08,0.87935,5147.58,0.0166198,0.587531,0.689749,0.105367,1.46299
57,696.02,1,-4.44043,0.161284,0.0309281,3.22705e-08,0.90158,5087.51,0.016199,0.620099,0.672285,0.11249,1.46552
58,711.405,1,-4.57343,0.167574,0.0420634,3.32378e-08,0.880666,5106.48,0.0157888,0.604398,0.68334,0.115353,1.49522
59,683.772,1,-4.60485,0.171579,0.0448816,3.19185e-08,0.91829,5203.81,0.015389,0.589094,0.668626,0.112432,1.45736
60,710.979,1,-4.68678,0.175203,0.0454551,3.19626e-08,0.911042,5254.77,0.0153658,0.594736,0.719189,0.113976,1.48775
61,732.526,1,-4.73593,0.177429,0.0476465,3.11076e-08,0.852697,5217.06,0.0149768,0.616128,0.81063,0.116315,1.45008
