popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
5.96281,5.0605,5.96281,3.62853,8.2971,5.26292,5.32708,5.26292,2.92863,7.5972,All
6.09144,5.30648,6.09144,3.75715,8.42572,5.44501,5.47721,5.44501,3.11073,7.77929,All
6.22006,5.49149,6.22006,3.88578,8.55435,5.6271,5.7198,5.6271,3.29282,7.96139,All
6.34869,5.53029,6.34869,4.01441,8.68297,5.8092,5.98951,5.8092,3.47491,8.14348,All
6.47732,5.52563,6.47732,4.14303,8.8116,5.99129,6.21522,5.99129,3.65701,8.32558,All
6.60594,5.50491,6.60594,4.27166,8.94023,6.17339,6.38165,6.17339,3.8391,8.50767,All
6.73457,5.47041,6.73457,4.40028,9.06885,6.35548,6.52429,6.35548,4.0212,8.68976,All
6.86319,5.5249,6.86319,4.52891,9.19748,6.53757,6.67919,6.53757,4.20329,8.87186,All
6.99182,5.59644,6.99182,4.65754,9.3261,6.71967,6.88039,6.71967,4.38538,9.05395,All
7.12045,5.81358,7.12045,4.78616,9.45473,6.90176,7.12399,6.90176,4.56748,9.23605,All
7.24907,6.06112,7.24907,4.91479,9.58336,7.08386,7.3894,7.08386,4.74957,9.41814,All
7.3777,6.30865,7.3777,5.04341,9.71198,7.26595,7.65519,7.26595,4.93167,9.60023,All
7.50632,6.24649,7.50632,5.17204,9.84061,7.44804,7.89973,7.44804,5.11376,9.78233,All
7.63495,6.16599,7.63495,5.30067,9.96923,7.63014,8.09675,7.63014,5.29585,9.96442,All
7.76358,6.02949,7.76358,5.42929,10.0979,7.81223,8.24561,7.81223,5.47795,10.1465,All
