rep,ID,eta_tin_simulated,eta_beta_simulated,eta_delta_simulated,eta_p_simulated,source,split,color,filter
21,26,0.0734585,-0.0270394,0.0079852,0.0547755,Neant,All,#4682B4,0
1,27,-0.0148318,0.327352,-0.961281,-0.0904292,Neant,All,#4682B4,0
2,27,0.0435395,0.553537,-1.39798,0.0700563,Neant,All,#4682B4,0
3,27,-0.0508497,-0.177036,-1.63541,-0.18763,Neant,All,#4682B4,0
4,27,-0.00891592,0.580828,-1.54454,0.046309,Neant,All,#4682B4,0
5,27,0.10781,0.605712,-1.37192,0.240196,Neant,All,#4682B4,0
6,27,0.185745,-0.572,-1.25434,0.0695143,Neant,All,#4682B4,0
7,27,-0.0161364,-0.265019,-1.65596,0.105551,Neant,All,#4682B4,0
8,27,0.102262,-0.176987,-1.14047,0.101358,Neant,All,#4682B4,0
9,27,-0.0140928,-0.0167861,-2.13325,-0.0692119,Neant,All,#4682B4,0
10,27,0.0215227,-0.257445,-2.66476,0.0256049,Neant,All,#4682B4,0
11,27,-0.110795,-0.119242,-1.82403,0.0377729,Neant,All,#4682B4,0
12,27,0.0442296,-0.388471,-1.80469,0.00459965,Neant,All,#4682B4,0
13,27,0.0741297,-0.391943,-1.95613,0.191574,Neant,All,#4682B4,0
14,27,0.0281851,0.737089,-1.82578,0.0335703,Neant,All,#4682B4,0
15,27,-0.0895127,0.139022,-1.38255,0.187538,Neant,All,#4682B4,0
16,27,0.0382014,-0.32408,-2.21176,0.00159354,Neant,All,#4682B4,0
17,27,0.0344131,-0.328493,-2.28662,0.0415751,Neant,All,#4682B4,0
18,27,0.160269,0.78211,-1.70657,-0.33618,Neant,All,#4682B4,0
19,27,-0.0594992,1.0168,-1.67846,-0.295541,Neant,All,#4682B4,0
20,27,0.023891,0.0927701,-1.48827,-0.124081,Neant,All,#4682B4,0
21,27,-0.0423456,-0.476723,-2.05785,0.0692357,Neant,All,#4682B4,0
1,28,-0.0196353,0.349969,0.0962875,0.173912,Neant,All,#4682B4,0
2,28,0.00964946,0.0448217,-0.071038,-0.215839,Neant,All,#4682B4,0
3,28,-0.047473,0.172976,-0.0860577,0.117365,Neant,All,#4682B4,0
4,28,-0.0840073,0.998801,-0.0210545,-0.0165957,Neant,All,#4682B4,0
5,28,0.0127706,0.253734,-0.284079,0.149188,Neant,All,#4682B4,0
6,28,-0.00734064,0.496253,0.242834,0.173201,Neant,All,#4682B4,0
7,28,0.129571,-0.320763,0.171071,0.159585,Neant,All,#4682B4,0
8,28,0.112082,-0.497961,-0.426675,0.0920635,Neant,All,#4682B4,0
9,28,0.0553847,-0.282952,0.106711,-0.153636,Neant,All,#4682B4,0
10,28,0.0347588,-0.72771,-0.787372,-0.254767,Neant,All,#4682B4,0
11,28,0.0234326,0.215982,-0.0647142,-0.0643583,Neant,All,#4682B4,0
12,28,-0.0749133,0.174758,-0.300911,0.0309342,Neant,All,#4682B4,0
13,28,0.0382965,0.00494831,0.316508,-0.0445917,Neant,All,#4682B4,0
14,28,-0.0776007,-0.296309,-0.217632,0.0342062,Neant,All,#4682B4,0
15,28,-0.0505549,0.796489,0.177335,0.216377,Neant,All,#4682B4,0
16,28,-0.11953,0.211588,-0.252319,0.112168,Neant,All,#4682B4,0
17,28,-0.0268766,0.00453025,-0.0798509,-0.248358,Neant,All,#4682B4,0
18,28,-0.0192619,0.18355,-0.0814908,-0.0179043,Neant,All,#4682B4,0
19,28,-0.00132514,-0.117888,-0.0368758,-0.0658603,Neant,All,#4682B4,0
20,28,0.000924327,-0.323046,-0.845446,-0.0822313,Neant,All,#4682B4,0
21,28,-0.0326284,-0.010927,-0.408185,-0.17968,Neant,All,#4682B4,0
1,29,0.0105589,-0.231526,-0.616481,0.0806649,Neant,All,#4682B4,0
2,29,0.0746931,0.0191112,-1.17302,0.109419,Neant,All,#4682B4,0
3,29,0.0184839,0.365181,-0.887692,-0.0389366,Neant,All,#4682B4,0
4,29,0.031297,-0.381622,-0.601267,0.209084,Neant,All,#4682B4,0
5,29,-0.0726456,-0.243386,-0.713446,-0.0558112,Neant,All,#4682B4,0
6,29,0.0790825,0.16114,-0.500413,0.0849875,Neant,All,#4682B4,0
7,29,0.014229,-0.143848,-0.712182,-0.00334363,Neant,All,#4682B4,0
8,29,-0.0963532,-0.051872,-1.17441,0.0190574,Neant,All,#4682B4,0
9,29,-0.039112,-0.276748,-0.980133,0.140946,Neant,All,#4682B4,0
10,29,0.0922179,-0.103757,-1.10982,-0.105051,Neant,All,#4682B4,0
11,29,0.00518939,0.378719,-0.655455,-0.0711626,Neant,All,#4682B4,0
12,29,0.0549417,0.368035,-0.72986,0.0861525,Neant,All,#4682B4,0
13,29,-0.00263026,0.182962,-0.537947,-0.00551936,Neant,All,#4682B4,0
14,29,-0.201434,-0.127107,-0.796683,0.20005,Neant,All,#4682B4,0
15,29,0.0370988,0.172135,-1.14065,-0.0362932,Neant,All,#4682B4,0
16,29,-0.0418833,-0.225121,-1.03333,0.286795,Neant,All,#4682B4,0
17,29,0.0435991,-0.112192,-0.619675,0.0530329,Neant,All,#4682B4,0
18,29,0.0663528,-0.0305529,-0.684183,-0.068311,Neant,All,#4682B4,0
19,29,-0.0151525,-0.0244694,-0.522247,0.120437,Neant,All,#4682B4,0
20,29,0.0105853,-0.00231837,-0.833836,0.118903,Neant,All,#4682B4,0
21,29,0.0243441,0.390117,-1.04028,-0.0719301,Neant,All,#4682B4,0
1,30,-0.0836056,-0.406587,-1.49205,0.111385,Neant,All,#4682B4,0
2,30,-0.0255679,0.215071,-0.972904,0.235301,Neant,All,#4682B4,0
3,30,-0.0194736,0.324619,-0.896152,0.20215,Neant,All,#4682B4,0
4,30,0.0791029,0.724824,-1.34407,-0.268757,Neant,All,#4682B4,0
5,30,0.10047,-0.197731,-1.04275,0.0298313,Neant,All,#4682B4,0
6,30,-0.00221225,-0.0808991,-1.29073,-0.160111,Neant,All,#4682B4,0
7,30,-0.108492,-0.0100229,-1.29007,0.0933254,Neant,All,#4682B4,0
8,30,-0.0251127,0.0109443,-0.947449,0.062351,Neant,All,#4682B4,0
9,30,-0.0712086,0.273436,-1.56781,-0.0431279,Neant,All,#4682B4,0
10,30,-0.0325178,0.273436,-1.37867,0.00340207,Neant,All,#4682B4,0
11,30,-0.049708,0.191139,-1.46916,0.0273308,Neant,All,#4682B4,0
12,30,-0.00341242,-0.174107,-1.27345,-0.148826,Neant,All,#4682B4,0
13,30,-0.0403297,-0.819141,-2.10808,-0.216372,Neant,All,#4682B4,0
14,30,-0.0885647,-0.0697233,-1.34685,0.196393,Neant,All,#4682B4,0
15,30,0.0911929,-0.0222839,-0.893733,0.0377874,Neant,All,#4682B4,0
16,30,0.000745287,-0.212476,-1.24263,0.152554,Neant,All,#4682B4,0
17,30,0.0699971,0.345875,-1.29485,-0.0742119,Neant,All,#4682B4,0
18,30,-0.0995749,0.270208,-1.72425,0.153304,Neant,All,#4682B4,0
19,30,0.0139963,-0.381897,-1.71092,0.0307542,Neant,All,#4682B4,0
20,30,0.119934,0.0466984,-0.805065,-0.0935567,Neant,All,#4682B4,0
21,30,-0.0782085,0.0198211,-1.20339,-0.15761,Neant,All,#4682B4,0
1,31,-0.0396771,-0.11262,-0.222074,-0.0630977,Neant,All,#4682B4,0
2,31,0.00627737,0.100432,0.0102207,-0.0736058,Neant,All,#4682B4,0
3,31,0.040832,0.141423,0.232329,0.152092,Neant,All,#4682B4,0
4,31,0.0619892,0.410311,-0.0941849,0.0216374,Neant,All,#4682B4,0
5,31,0.0700858,-0.040467,-0.255972,-0.312353,Neant,All,#4682B4,0
6,31,-0.028735,-0.430314,-0.643538,-0.0373942,Neant,All,#4682B4,0
7,31,0.00424659,-0.267099,0.0160926,0.0619785,Neant,All,#4682B4,0
8,31,-0.00956796,-0.411106,-0.393047,0.0600627,Neant,All,#4682B4,0
9,31,0.00827781,-0.643966,-0.290163,-0.0194662,Neant,All,#4682B4,0
10,31,0.0257496,-0.587754,-0.263055,-0.212383,Neant,All,#4682B4,0
11,31,0.0598151,-0.110801,-0.0243744,-0.0946261,Neant,All,#4682B4,0
12,31,-0.132963,-0.107867,-0.506461,0.106268,Neant,All,#4682B4,0
13,31,-0.0589381,-0.2445,-0.161374,-0.0553345,Neant,All,#4682B4,0
14,31,0.0354679,-0.160441,-0.010197,0.0482511,Neant,All,#4682B4,0
15,31,-0.0315808,0.202522,-0.529982,-0.117688,Neant,All,#4682B4,0
16,31,-0.0149317,-0.209097,0.286324,0.112316,Neant,All,#4682B4,0
17,31,0.00208702,0.465015,0.0622818,-0.11126,Neant,All,#4682B4,0
18,31,0.0190134,0.893057,-0.359375,-0.0632094,Neant,All,#4682B4,0
19,31,-0.0163979,-0.481207,0.162195,-0.2266,Neant,All,#4682B4,0
20,31,0.0563755,-0.318187,-0.658656,0.0950147,Neant,All,#4682B4,0
21,31,-0.0980332,-0.655515,-0.540696,0.00478615,Neant,All,#4682B4,0
1,32,-0.00352398,0.457172,0.568014,0.19719,Neant,All,#4682B4,0
2,32,0.123539,-0.6314,0.112898,-0.051253,Neant,All,#4682B4,0
3,32,0.123341,0.412743,0.513194,-0.0904819,Neant,All,#4682B4,0
4,32,0.149359,-0.296313,0.0119466,0.122602,Neant,All,#4682B4,0
5,32,0.0257514,-0.0496381,-0.0333384,-0.0508834,Neant,All,#4682B4,0
6,32,0.064104,0.239472,0.890801,-0.148064,Neant,All,#4682B4,0
7,32,0.0777264,0.360633,0.954038,0.184829,Neant,All,#4682B4,0
8,32,0.0705723,0.0602686,0.0396504,0.23448,Neant,All,#4682B4,0
9,32,0.0908791,-0.131952,0.720229,-0.0985282,Neant,All,#4682B4,0
10,32,-0.11733,-0.798095,-0.368661,0.0173374,Neant,All,#4682B4,0
11,32,-0.0548841,-0.760306,-0.129901,-0.114887,Neant,All,#4682B4,0
12,32,0.124078,0.0302798,-0.161024,0.163567,Neant,All,#4682B4,0
13,32,0.0377453,-0.599899,0.0174509,0.260927,Neant,All,#4682B4,0
14,32,-0.0349223,0.414647,0.560043,-0.0814098,Neant,All,#4682B4,0
15,32,0.152359,0.459221,0.350664,-0.0104992,Neant,All,#4682B4,0
16,32,0.0195305,1.00182,0.173021,-0.0310927,Neant,All,#4682B4,0
17,32,0.0602574,-0.427612,0.0831183,-0.0425992,Neant,All,#4682B4,0
18,32,-0.00720895,0.265287,0.283954,-0.00722003,Neant,All,#4682B4,0
19,32,0.0734113,0.0387122,0.383254,-0.0174231,Neant,All,#4682B4,0
20,32,0.0391816,0.366634,-0.0787052,-0.10479,Neant,All,#4682B4,0
21,32,0.0943549,-0.24977,-0.25942,-0.0905077,Neant,All,#4682B4,0
1,33,-0.0825798,0.199291,-0.655237,-0.139733,Neant,All,#4682B4,0
2,33,-0.00438649,0.0266593,-0.621504,-0.239249,Neant,All,#4682B4,0
3,33,0.134545,0.27052,-0.636867,0.0384172,Neant,All,#4682B4,0
4,33,-0.0491362,-0.000329963,-0.880713,0.104613,Neant,All,#4682B4,0
5,33,-0.0462934,0.231066,-0.360305,-0.366773,Neant,All,#4682B4,0
6,33,0.105535,0.0341445,-1.28411,-0.218839,Neant,All,#4682B4,0
7,33,0.0105722,0.410382,-0.912885,0.0182078,Neant,All,#4682B4,0
8,33,-0.0073535,-0.431796,-0.424563,0.0504035,Neant,All,#4682B4,0
9,33,-0.0147318,-0.163731,-0.162513,0.210494,Neant,All,#4682B4,0
10,33,0.0381346,-0.215482,0.19979,0.157807,Neant,All,#4682B4,0
11,33,-0.0430308,0.0145187,-1.06621,-0.0890339,Neant,All,#4682B4,0
12,33,0.0247725,-0.515662,-0.908718,-0.0192898,Neant,All,#4682B4,0
13,33,-0.0953886,0.835325,-0.565909,-0.0878325,Neant,All,#4682B4,0
14,33,-0.0229218,-0.22224,-0.55183,0.05208,Neant,All,#4682B4,0
15,33,0.0692867,0.794283,0.117928,0.0634951,Neant,All,#4682B4,0
16,33,0.00257248,-0.361323,-0.494978,-0.023245,Neant,All,#4682B4,0
17,33,-0.0268291,-0.175488,-0.414032,0.0809256,Neant,All,#4682B4,0
18,33,-0.0464507,-0.552965,-0.161583,-0.0223252,Neant,All,#4682B4,0
19,33,-0.0397879,0.000915798,-0.739367,0.197391,Neant,All,#4682B4,0
20,33,0.0280126,0.609334,-0.738129,0.0897205,Neant,All,#4682B4,0
21,33,-0.00293739,0.716093,-0.700378,-0.0579156,Neant,All,#4682B4,0
1,34,0.074694,-0.272225,0.234533,0.119945,Neant,All,#4682B4,0
2,34,0.0213862,-0.120954,0.0990689,0.109203,Neant,All,#4682B4,0
3,34,-0.103635,0.111016,-0.38903,-0.176958,Neant,All,#4682B4,0
4,34,0.016932,0.365305,0.330252,0.134939,Neant,All,#4682B4,0
5,34,-0.0755644,-0.283483,0.113345,0.18924,Neant,All,#4682B4,0
6,34,0.103789,0.0103834,-0.117556,-0.317492,Neant,All,#4682B4,0
7,34,0.133387,0.0507315,1.15865,0.0420542,Neant,All,#4682B4,0
8,34,0.0354036,0.479827,0.215607,-0.108643,Neant,All,#4682B4,0
9,34,-0.0921839,-0.151828,0.112879,0.359239,Neant,All,#4682B4,0
10,34,0.0806893,0.0441274,0.593975,-0.203871,Neant,All,#4682B4,0
11,34,-0.0778189,0.360325,0.0639776,-0.116711,Neant,All,#4682B4,0
12,34,0.0395562,-0.451809,0.237874,-0.0888779,Neant,All,#4682B4,0
13,34,-0.126276,-0.0794758,0.00506891,0.104369,Neant,All,#4682B4,0
14,34,-0.0433502,-0.222312,-0.178716,0.000185974,Neant,All,#4682B4,0
15,34,-0.0824636,1.22734,-0.022586,-0.129335,Neant,All,#4682B4,0
16,34,0.0459848,-0.615852,-0.0913652,0.0219217,Neant,All,#4682B4,0
17,34,-0.0306745,0.253456,0.0723479,-0.161511,Neant,All,#4682B4,0
18,34,0.00742826,-0.093302,-0.177953,-0.135899,Neant,All,#4682B4,0
19,34,0.00851674,-0.104072,0.776217,0.104374,Neant,All,#4682B4,0
20,34,0.0307784,-0.133611,-0.0296029,-0.210029,Neant,All,#4682B4,0
21,34,0.0783876,-0.0606351,0.681657,0.0655618,Neant,All,#4682B4,0
1,35,0.0617777,-0.0705059,0.125161,0.00947695,Neant,All,#4682B4,0
2,35,0.0795864,-0.0445297,0.213562,0.165689,Neant,All,#4682B4,0
3,35,0.104638,0.106354,0.041723,0.11821,Neant,All,#4682B4,0
4,35,-0.00789099,0.465118,0.0921825,0.0592392,Neant,All,#4682B4,0
5,35,0.0438929,-0.200725,-0.186538,-0.0396706,Neant,All,#4682B4,0
6,35,0.0299911,0.223671,0.173225,-0.0164902,Neant,All,#4682B4,0
7,35,0.0149645,-0.126035,0.550456,0.229726,Neant,All,#4682B4,0
8,35,0.041236,0.112326,-0.0475642,0.185159,Neant,All,#4682B4,0
9,35,-0.0284347,-0.256984,0.26605,-0.00998771,Neant,All,#4682B4,0
10,35,0.0521128,0.0428097,0.378874,0.143599,Neant,All,#4682B4,0
11,35,0.113867,0.213211,1.25244,0.0795797,Neant,All,#4682B4,0
12,35,0.0482201,-0.119012,0.16541,-0.258086,Neant,All,#4682B4,0
13,35,0.0175084,0.258922,0.131887,0.125363,Neant,All,#4682B4,0
14,35,-0.0356462,0.569084,0.368978,-0.00707557,Neant,All,#4682B4,0
15,35,-0.00266414,-0.437032,0.29827,-0.0242459,Neant,All,#4682B4,0
16,35,-0.0320911,0.350976,0.562841,-0.0108652,Neant,All,#4682B4,0
17,35,0.101849,0.176083,0.389619,0.0320209,Neant,All,#4682B4,0
18,35,-0.0517142,-0.585299,-0.271432,0.0910888,Neant,All,#4682B4,0
19,35,0.0348506,-0.545642,0.0965501,-0.0713348,Neant,All,#4682B4,0
20,35,0.0872826,0.126361,0.251327,-0.0349033,Neant,All,#4682B4,0
21,35,0.00442792,0.525788,0.225567,0.154294,Neant,All,#4682B4,0
1,36,0.0347947,-0.292742,-0.50283,-0.115023,Neant,All,#4682B4,0
2,36,0.117841,0.231432,-0.472864,-0.0826046,Neant,All,#4682B4,0
3,36,-0.0466195,0.613245,-0.936334,0.175794,Neant,All,#4682B4,0
4,36,-0.118296,0.393988,-1.13869,-0.0213321,Neant,All,#4682B4,0
5,36,-0.0268259,0.503253,-0.764591,0.211677,Neant,All,#4682B4,0
6,36,0.0796279,0.604326,-0.479694,0.00206226,Neant,All,#4682B4,0
7,36,0.188838,0.0837163,-0.867291,0.0215433,Neant,All,#4682B4,0
8,36,0.0244965,-0.199327,-0.500384,0.204949,Neant,All,#4682B4,0
9,36,-0.0441905,0.633975,-0.484901,0.11931,Neant,All,#4682B4,0
10,36,0.0371941,0.545549,-1.25669,-0.0115383,Neant,All,#4682B4,0
11,36,-0.0225058,0.228024,-2.05186,0.00315311,Neant,All,#4682B4,0
12,36,0.126129,0.53909,-0.838642,-0.0406109,Neant,All,#4682B4,0
13,36,0.186609,0.338993,0.0225336,0.196468,Neant,All,#4682B4,0
14,36,-0.00616142,0.966829,-0.845824,-0.161212,Neant,All,#4682B4,0
15,36,0.015055,0.00703053,-1.22089,-0.247369,Neant,All,#4682B4,0
16,36,0.0950569,-0.167541,-1.24347,-0.115964,Neant,All,#4682B4,0
17,36,0.0227339,-0.348315,-0.822991,-0.0563966,Neant,All,#4682B4,0
18,36,-0.0233118,-0.213052,-0.775021,0.2018,Neant,All,#4682B4,0
19,36,0.0897421,-0.637518,-1.06025,0.154033,Neant,All,#4682B4,0
20,36,0.129996,0.211658,-0.357702,0.281171,Neant,All,#4682B4,0
21,36,-0.0452548,0.250402,-1.18895,-0.195052,Neant,All,#4682B4,0
1,37,0.0139147,0.0681892,-0.799197,0.101684,Neant,All,#4682B4,0
2,37,0.00103981,-0.254059,-0.502614,-0.252175,Neant,All,#4682B4,0
3,37,-0.0744973,0.227984,0.309324,0.354621,Neant,All,#4682B4,0
4,37,-0.00681846,0.626489,0.178743,0.189556,Neant,All,#4682B4,0
5,37,-0.00350284,0.366063,0.194481,-0.0301783,Neant,All,#4682B4,0
6,37,-0.0187157,-0.175227,-0.137559,-0.0364062,Neant,All,#4682B4,0
7,37,-0.0688017,0.207398,-0.228666,-0.119857,Neant,All,#4682B4,0
8,37,-0.0403575,0.407376,-0.0187759,-0.137268,Neant,All,#4682B4,0
9,37,0.0415738,-0.36151,-0.0261719,-0.00101257,Neant,All,#4682B4,0
10,37,0.0155692,-0.47033,1.37824,0.490364,Neant,All,#4682B4,0
11,37,-0.12143,-0.0636795,0.245896,-0.0744918,Neant,All,#4682B4,0
12,37,-0.077201,-0.398703,0.149584,0.113456,Neant,All,#4682B4,0
13,37,0.0918548,0.480122,-0.497168,0.113887,Neant,All,#4682B4,0
14,37,0.106105,-0.183413,1.23042,0.188195,Neant,All,#4682B4,0
15,37,-0.00663703,0.260397,0.436414,-0.0469872,Neant,All,#4682B4,0
16,37,-0.128826,0.0155847,-0.417586,0.176108,Neant,All,#4682B4,0
17,37,0.0941095,0.468411,0.0220439,-0.126567,Neant,All,#4682B4,0
18,37,-0.173643,0.151612,-0.126926,0.0837096,Neant,All,#4682B4,0
19,37,0.0463737,0.636418,0.0656015,-0.199194,Neant,All,#4682B4,0
20,37,-0.0777394,-0.0450388,0.834977,0.106139,Neant,All,#4682B4,0
21,37,0.0175878,0.528697,0.0678339,0.1397,Neant,All,#4682B4,0
1,38,-0.108307,-0.454214,-0.296279,0.0526069,Neant,All,#4682B4,0
2,38,0.054838,0.49889,0.946653,-0.055707,Neant,All,#4682B4,0
3,38,-0.0458758,0.38003,0.298132,0.0909115,Neant,All,#4682B4,0
4,38,0.0700758,-0.108355,0.31296,0.268531,Neant,All,#4682B4,0
5,38,-0.0518627,-0.333308,0.267359,-0.145163,Neant,All,#4682B4,0
6,38,0.187906,-0.0163054,0.54421,-0.104024,Neant,All,#4682B4,0
7,38,-0.0490203,0.342994,0.392781,-0.0313251,Neant,All,#4682B4,0
8,38,-0.11293,0.215176,0.215802,0.3186,Neant,All,#4682B4,0
9,38,0.0252818,0.231135,0.577479,0.104113,Neant,All,#4682B4,0
10,38,-0.0313119,-0.489323,0.0547555,-0.0311683,Neant,All,#4682B4,0
11,38,0.154663,-0.748384,0.65982,-0.014014,Neant,All,#4682B4,0
12,38,0.0252744,0.187347,-0.00487552,0.151069,Neant,All,#4682B4,0
13,38,0.110323,0.287767,0.815243,-0.218829,Neant,All,#4682B4,0
14,38,0.0334708,0.752866,0.51581,0.129811,Neant,All,#4682B4,0
15,38,0.0737442,0.524013,0.346866,0.00469398,Neant,All,#4682B4,0
16,38,-0.080346,0.467423,0.427632,0.0237287,Neant,All,#4682B4,0
17,38,-0.132411,0.879893,-0.299754,-0.102057,Neant,All,#4682B4,0
18,38,-0.00132294,0.0380788,0.605237,-0.0131417,Neant,All,#4682B4,0
19,38,-0.00602356,-0.497572,-0.2149,0.137003,Neant,All,#4682B4,0
20,38,-0.0239721,-0.134937,1.10591,0.240132,Neant,All,#4682B4,0
21,38,0.126269,0.383336,0.714895,-0.0515389,Neant,All,#4682B4,0
1,39,0.0370011,0.219319,-0.544217,0.132354,Neant,All,#4682B4,0
2,39,0.140272,0.00775134,-0.586863,-0.0416442,Neant,All,#4682B4,0
3,39,0.0720625,-0.210411,-1.0267,0.0231864,Neant,All,#4682B4,0
4,39,-0.00229668,-0.672087,-0.918609,-0.119578,Neant,All,#4682B4,0
5,39,0.00281447,0.444605,-0.302771,0.149602,Neant,All,#4682B4,0
6,39,0.116221,0.0993185,-0.549718,0.00287385,Neant,All,#4682B4,0
7,39,0.0722196,-0.00633626,-0.382667,0.135444,Neant,All,#4682B4,0
8,39,0.131628,-0.134842,-0.724592,-0.136318,Neant,All,#4682B4,0
9,39,-0.0134633,-0.0387235,-0.79599,0.105216,Neant,All,#4682B4,0
10,39,0.020988,0.317056,-0.789113,-0.0287859,Neant,All,#4682B4,0
11,39,-0.0262021,0.107133,-0.791287,0.0152491,Neant,All,#4682B4,0
12,39,0.0349237,0.0644383,-0.489174,0.1155,Neant,All,#4682B4,0
13,39,-0.0342597,0.259571,-0.558693,0.260323,Neant,All,#4682B4,0
14,39,0.0792751,0.206879,-0.689973,0.0613203,Neant,All,#4682B4,0
15,39,0.0364481,0.0862956,-1.09566,-0.0239176,Neant,All,#4682B4,0
16,39,0.119354,-0.0240639,-0.817737,-0.0804054,Neant,All,#4682B4,0
17,39,-0.058275,0.310235,-0.879267,-0.0626105,Neant,All,#4682B4,0
18,39,-0.031844,0.00397569,-0.275316,0.100433,Neant,All,#4682B4,0
19,39,-0.00874805,0.213643,-0.948074,-0.292182,Neant,All,#4682B4,0
20,39,-0.00515709,0.243827,-0.774051,0.0905355,Neant,All,#4682B4,0
21,39,0.129956,0.316056,-0.514886,-0.147356,Neant,All,#4682B4,0
1,40,0.0648635,0.421811,0.573734,-0.503445,Neant,All,#4682B4,0
2,40,-0.116828,-0.226469,0.412864,0.114964,Neant,All,#4682B4,0
3,40,-0.0483727,-0.409791,1.16951,-0.167364,Neant,All,#4682B4,0
4,40,-0.134833,-0.00650194,0.64353,-0.148058,Neant,All,#4682B4,0
5,40,-0.0459326,-0.148974,0.392841,-0.0900563,Neant,All,#4682B4,0
6,40,-0.0307354,-0.852892,1.44113,0.110053,Neant,All,#4682B4,0
7,40,-0.106209,-0.986495,0.912145,0.0775933,Neant,All,#4682B4,0
8,40,-0.092106,0.0449065,0.507852,0.00961131,Neant,All,#4682B4,0
9,40,0.0468411,0.0852981,1.02478,0.241666,Neant,All,#4682B4,0
10,40,-0.113788,-0.413529,0.634619,-0.112257,Neant,All,#4682B4,0
11,40,-0.0656301,-0.413529,1.14455,-0.149678,Neant,All,#4682B4,0
12,40,-0.108586,-0.355759,0.39257,-0.042826,Neant,All,#4682B4,0
13,40,-0.0754031,-0.438861,0.587083,0.138134,Neant,All,#4682B4,0
14,40,-0.0352592,-0.633801,0.614409,0.0996309,Neant,All,#4682B4,0
15,40,-0.0698877,0.145931,0.606927,0.0495097,Neant,All,#4682B4,0
16,40,0.0315808,0.039957,1.08202,-0.155538,Neant,All,#4682B4,0
17,40,-0.0104842,-0.0424271,0.396173,-0.270566,Neant,All,#4682B4,0
18,40,-0.0794187,0.418118,0.421917,0.000725306,Neant,All,#4682B4,0
19,40,-0.11683,-0.0887895,0.338776,0.0109245,Neant,All,#4682B4,0
20,40,-0.0441,-0.502474,0.661832,0.0869507,Neant,All,#4682B4,0
21,40,-0.0440813,-0.53638,1.68392,0.0477795,Neant,All,#4682B4,0
1,41,-0.00218863,0.111742,-0.210203,-0.0677968,Neant,All,#4682B4,0
2,41,-0.0128102,0.4455,-0.29667,0.0416888,Neant,All,#4682B4,0
3,41,0.0106398,-0.258039,0.143825,0.145641,Neant,All,#4682B4,0
4,41,-0.0497749,-0.177428,-0.0721313,0.00880276,Neant,All,#4682B4,0
5,41,-0.0585563,0.0990777,-0.510317,-0.246784,Neant,All,#4682B4,0
6,41,0.0326585,-0.0342488,-0.0842048,0.038924,Neant,All,#4682B4,0
7,41,0.0128569,-0.188894,-0.183779,-0.0685231,Neant,All,#4682B4,0
8,41,0.0608225,0.47233,-0.316592,-0.0190651,Neant,All,#4682B4,0
9,41,-0.104017,-0.289278,-1.12587,-0.156148,Neant,All,#4682B4,0
10,41,-0.0557466,0.622135,0.150958,0.141705,Neant,All,#4682B4,0
11,41,-0.0572548,0.0629771,-0.0294919,-0.140899,Neant,All,#4682B4,0
12,41,0.0108738,-0.360247,0.413559,0.0671379,Neant,All,#4682B4,0
13,41,0.0871572,-0.715907,0.0294815,-0.190895,Neant,All,#4682B4,0
14,41,-0.0750237,-0.276304,-0.319235,0.0434787,Neant,All,#4682B4,0
15,41,0.0468136,-0.503854,-0.673677,-0.147922,Neant,All,#4682B4,0
16,41,-0.0783294,0.915343,-0.104515,0.18405,Neant,All,#4682B4,0
17,41,0.0529548,-0.0275935,0.19449,-0.0606292,Neant,All,#4682B4,0
18,41,0.0332979,-1.12573,-0.484965,0.136074,Neant,All,#4682B4,0
19,41,-0.0397317,0.188945,-0.526163,-0.0533165,Neant,All,#4682B4,0
20,41,0.128865,0.16693,1.00799,-0.0845124,Neant,All,#4682B4,0
21,41,-0.0149963,0.484853,0.311319,-0.0639828,Neant,All,#4682B4,0
1,42,-0.00434521,0.0971298,-1.03393,0.0868719,Neant,All,#4682B4,0
2,42,0.0757373,0.522866,-0.509687,0.280146,Neant,All,#4682B4,0
3,42,0.194482,-0.0190476,-0.509687,0.0182292,Neant,All,#4682B4,0
4,42,0.0374545,-0.0576167,-0.699564,0.0712335,Neant,All,#4682B4,0
5,42,0.0523376,0.451093,-0.609446,0.0636153,Neant,All,#4682B4,0
6,42,0.054062,0.603526,-0.78257,-0.0699836,Neant,All,#4682B4,0
7,42,0.122354,-0.598762,-0.646623,0.153022,Neant,All,#4682B4,0
8,42,-0.00465539,0.705498,-1.16463,0.0336639,Neant,All,#4682B4,0
9,42,0.0495834,0.710168,-0.920468,-0.302891,Neant,All,#4682B4,0
10,42,0.120389,-0.0311133,-0.514616,0.0467256,Neant,All,#4682B4,0
11,42,0.0544405,0.395257,-0.951231,0.188928,Neant,All,#4682B4,0
12,42,0.157432,0.21157,-0.632724,-0.116816,Neant,All,#4682B4,0
13,42,0.168548,0.32622,-0.541986,0.021769,Neant,All,#4682B4,0
14,42,0.0800299,-0.291773,-0.231446,0.29797,Neant,All,#4682B4,0
15,42,0.0221471,0.161923,-1.11234,-0.042203,Neant,All,#4682B4,0
16,42,-0.076164,0.710387,-0.982715,-0.131308,Neant,All,#4682B4,0
17,42,0.0732747,0.0333688,-1.45719,-0.0397919,Neant,All,#4682B4,0
18,42,0.114483,0.0333688,-0.585318,0.134278,Neant,All,#4682B4,0
19,42,0.149922,0.0875309,-0.523022,0.189977,Neant,All,#4682B4,0
