beta_vs_delta_abscissa,beta_vs_delta_spline,beta_vs_delta_regression,beta_vs_p_abscissa,beta_vs_p_spline,beta_vs_p_regression,beta_vs_tin_abscissa,beta_vs_tin_spline,beta_vs_tin_regression,delta_vs_beta_abscissa,delta_vs_beta_spline,delta_vs_beta_regression,delta_vs_p_abscissa,delta_vs_p_spline,delta_vs_p_regression,delta_vs_tin_abscissa,delta_vs_tin_spline,delta_vs_tin_regression,p_vs_beta_abscissa,p_vs_beta_spline,p_vs_beta_regression,p_vs_delta_abscissa,p_vs_delta_spline,p_vs_delta_regression,p_vs_tin_abscissa,p_vs_tin_spline,p_vs_tin_regression,tin_vs_beta_abscissa,tin_vs_beta_spline,tin_vs_beta_regression,tin_vs_delta_abscissa,tin_vs_delta_spline,tin_vs_delta_regression,tin_vs_p_abscissa,tin_vs_p_spline,tin_vs_p_regression
-0.585661,0.0157167,-0.00584529,-0.0316367,0.0242851,-0.00587094,-0.016704,0.000721208,-0.00574827,-0.0767736,0.0829862,-0.00182494,-0.0316367,0.095609,0.00164877,-0.016704,-0.0444244,-0.00919436,-0.0767736,0.00246837,0.00183485,-0.585661,0.00957758,0.00441924,-0.016704,0.0336923,0.00436392,-0.0767736,-0.0106703,0.00260229,-0.585661,0.0141533,1.83353e-06,-0.0316367,-0.000470036,0.00378089
-0.541425,0.0961987,-0.00567567,-0.0215983,-0.00914521,-0.0052048,-0.0124776,0.0217214,-0.00528619,-0.0516945,-0.0126014,-0.00150274,-0.0215983,0.0638348,0.000904577,-0.0124776,-0.0434729,-0.00740454,-0.0516945,0.00449549,0.00207655,-0.541425,0.045787,0.00427708,-0.0124776,-0.0294447,0.00397107,-0.0516945,-0.00472992,0.00271047,-0.541425,0.00390464,0.000222423,-0.0215983,0.00273324,0.00352741
-0.497189,0.0131768,-0.00550605,-0.0115598,0.041921,-0.00453866,-0.00825109,0.0244153,-0.00482411,-0.0266155,-0.0383716,-0.00118055,-0.0115598,0.00965281,0.00016038,-0.00825109,0.0607161,-0.00561473,-0.0266155,0.0144959,0.00231825,-0.497189,0.00490229,0.00413493,-0.00825109,0.0126098,0.00357821,-0.0266155,0.00665082,0.00281864,-0.497189,0.0268298,0.000443013,-0.0115598,0.00267527,0.00327394
-0.452953,-0.0735011,-0.00533644,-0.00152131,0.00212703,-0.00387252,-0.00402462,0.0789582,-0.00436204,-0.00153643,0.00054432,-0.000858353,-0.00152131,-0.0863688,-0.000583817,-0.00402462,0.0706542,-0.00382491,-0.00153643,0.0129541,0.00255996,-0.452953,-0.000436528,0.00399277,-0.00402462,-0.034352,0.00318536,-0.00153643,-0.00668943,0.00292682,-0.452953,0.0156895,0.000663603,-0.00152131,-0.00424885,0.00302046
-0.408717,-0.00649699,-0.00516682,0.00851717,-0.0883689,-0.00320638,0.000201851,-0.0661531,-0.00389996,0.0235426,-0.0866078,-0.000536158,0.00851717,-0.102173,-0.00132801,0.000201851,-0.0452333,-0.00203509,0.0235426,0.00162684,0.00280166,-0.408717,0.00341047,0.00385062,0.000201851,0.0401595,0.0027925,0.0235426,0.0200633,0.003035,-0.408717,-0.00593745,0.000884192,0.00851717,-0.00705706,0.00276698
-0.364481,-0.0152768,-0.0049972,0.0185556,0.0949351,-0.00254024,0.00442832,0.0229758,-0.00343788,0.0486217,0.17769,-0.000213962,0.0185556,-0.0327691,-0.00207221,0.00442832,0.0127712,-0.000245276,0.0486217,-0.0362024,0.00304336,-0.364481,0.00786225,0.00370847,0.00442832,0.040765,0.00239964,0.0486217,0.00755946,0.00314317,-0.364481,-0.00434327,0.00110478,0.0185556,-0.00125616,0.0025135
-0.320245,0.0325967,-0.00482758,0.0285941,-0.0256363,-0.0018741,0.00865479,-0.0576724,-0.00297581,0.0737007,-0.0462633,0.000108233,0.0285941,-0.0893616,-0.00281641,0.00865479,0.0675711,0.00154454,0.0737007,0.0039076,0.00328506,-0.320245,0.0100977,0.00356631,0.00865479,-0.027667,0.00200679,0.0737007,0.0109997,0.00325135,-0.320245,0.0013701,0.00132537,0.0285941,0.0100959,0.00226003
-0.276009,-0.0201896,-0.00465796,0.0386326,0.0276517,-0.00120796,0.0128813,-0.0544224,-0.00251373,0.0987798,0.000293796,0.000430429,0.0386326,-0.100795,-0.00356061,0.0128813,-0.0401463,0.00333436,0.0987798,-0.012733,0.00352676,-0.276009,-0.00766697,0.00342416,0.0128813,0.0286296,0.00161393,0.0987798,0.00822281,0.00335953,-0.276009,-0.0100964,0.00154596,0.0386326,0.00769341,0.00200655
-0.231773,-0.0372088,-0.00448834,0.0486711,-0.06785,-0.000541822,0.0171077,0.0366103,-0.00205165,0.123859,0.0501272,0.000752625,0.0486711,0.048244,-0.0043048,0.0171077,0.0612036,0.00512417,0.123859,0.00182721,0.00376846,-0.231773,0.00158442,0.003282,0.0171077,-0.00379431,0.00122107,0.123859,-0.00139989,0.00346771,-0.231773,-0.00195149,0.00176655,0.0486711,0.00640444,0.00175307
-0.187537,-0.0534577,-0.00431872,0.0587096,0.0422194,0.000124318,0.0213342,-0.0597461,-0.00158957,0.148938,0.136824,0.00107482,0.0587096,0.0809954,-0.005049,0.0213342,-0.175334,0.00691399,0.148938,0.0354171,0.00401017,-0.187537,0.00891606,0.00313985,0.0213342,0.0121861,0.000828218,0.148938,0.00699475,0.00357588,-0.187537,0.0134997,0.00198714,0.0587096,0.00453218,0.0014996
-0.143301,-0.0311788,-0.0041491,0.068748,-0.00822527,0.000790457,0.0255607,-0.0173231,-0.0011275,0.174017,0.0173045,0.00139702,0.068748,-0.0240491,-0.0057932,0.0255607,-0.0354531,0.00870381,0.174017,-0.0207946,0.00425187,-0.143301,0.0208566,0.0029977,0.0255607,-0.0108897,0.000435362,0.174017,0.00879596,0.00368406,-0.143301,0.000716742,0.00220773,0.068748,0.00615944,0.00124612
-0.0990645,0.0110069,-0.00397948,0.0787865,-0.0670377,0.0014566,0.0297871,-0.0115319,-0.00066542,0.199096,-0.00828352,0.00171921,0.0787865,0.146582,-0.00653739,0.0297871,0.0188615,0.0104936,0.199096,0.00320738,0.00449357,-0.0990645,-0.0054137,0.00285554,0.0297871,-0.00191872,4.25054e-05,0.199096,0.00222293,0.00379224,-0.0990645,-0.00798777,0.00242832,0.0787865,0.000756139,0.000992641
-0.0548285,-0.0766474,-0.00380986,0.088825,0.0470875,0.00212274,0.0340136,-0.0543521,-0.000203343,0.224175,-0.0209917,0.00204141,0.088825,-0.0863063,-0.00728159,0.0340136,-0.0284637,0.0122834,0.224175,0.015953,0.00473527,-0.0548285,0.00124428,0.00271339,0.0340136,-0.00551751,-0.000350351,0.224175,0.00508062,0.00390041,-0.0548285,-0.018382,0.00264891,0.088825,-0.00898845,0.000739164
-0.0105924,0.017461,-0.00364024,0.0988635,-0.0519972,0.00278888,0.0382401,0.0347309,0.000258734,0.249254,-0.0229736,0.0023636,0.0988635,0.00389336,-0.00802579,0.0382401,-0.0477127,0.0140733,0.249254,0.00894925,0.00497697,-0.0105924,-0.00881411,0.00257123,0.0382401,-0.00161974,-0.000743207,0.249254,-0.00739473,0.00400859,-0.0105924,-0.0064017,0.0028695,0.0988635,0.0117609,0.000485686
0.0336437,-0.0323806,-0.00347062,0.108902,-0.00992453,0.00345502,0.0424666,-0.0241155,0.000720811,0.274333,0.0219282,0.0026858,0.108902,-0.049485,-0.00876999,0.0424666,0.0969979,0.0158631,0.274333,0.0202298,0.00521868,0.0336437,-0.00306791,0.00242908,0.0424666,0.00390504,-0.00113606,0.274333,-0.0082876,0.00411677,0.0336437,0.0122765,0.00309009,0.108902,-0.0154158,0.000232209
0.0778797,-0.0538079,-0.003301,0.11894,0.0210173,0.00412116,0.046693,0.080468,0.00118289,0.299412,0.102585,0.00300799,0.11894,0.060185,-0.00951418,0.046693,0.0118168,0.0176529,0.299412,-0.00820094,0.00546038,0.0778797,-0.0250239,0.00228693,0.046693,-0.0389091,-0.00152892,0.299412,0.00863984,0.00422494,0.0778797,-0.00586888,0.00331068,0.11894,0.0135559,-2.12681e-05
0.122116,0.00397524,-0.00313138,0.128979,0.0100277,0.0047873,0.0509195,-0.0232782,0.00164497,0.324491,-0.00463555,0.00333019,0.128979,-0.0344566,-0.0102584,0.0509195,0.141965,0.0194427,0.324491,-0.0339353,0.00570208,0.122116,0.0580052,0.00214477,0.0509195,-0.0177718,-0.00192178,0.324491,0.0185845,0.00433312,0.122116,-0.00469834,0.00353127,0.128979,-0.000732472,-0.000274745
0.166352,-0.00663053,-0.00296176,0.139017,-0.0254192,0.00545344,0.055146,0.0265229,0.00210704,0.34957,0.0527637,0.00365238,0.139017,-0.0115399,-0.0110026,0.055146,0.0717592,0.0212325,0.34957,-0.013296,0.00594378,0.166352,-0.00352559,0.00200262,0.055146,-0.00769431,-0.00231463,0.34957,0.00920982,0.0044413,0.166352,-0.00976157,0.00375186,0.139017,0.00146971,-0.000528223
0.210588,0.0382038,-0.00279214,0.149056,0.0171689,0.00611958,0.0593724,-0.0347694,0.00256912,0.374649,-0.000473831,0.00397458,0.149056,0.100072,-0.0117468,0.0593724,0.156732,0.0230223,0.374649,0.0157595,0.00618548,0.210588,0.0273805,0.00186046,0.0593724,-0.00592698,-0.00270749,0.374649,0.00995948,0.00454947,0.210588,-0.00359493,0.00397245,0.149056,0.0132781,-0.0007817
0.254824,-0.00400617,-0.00262252,0.159094,0.00864633,0.00678572,0.0635989,-0.035355,0.0030312,0.399728,-0.0502681,0.00429678,0.159094,-0.0283492,-0.012491,0.0635989,0.157453,0.0248122,0.399728,0.0172687,0.00642719,0.254824,-0.00372204,0.00171831,0.0635989,-0.0138581,-0.00310034,0.399728,0.00586815,0.00465765,0.254824,-0.00891558,0.00419304,0.159094,0.000583239,-0.00103518
0.29906,0.0181858,-0.0024529,0.169133,-0.00688262,0.00745186,0.0678254,0.0256716,0.00349327,0.424807,-0.0112335,0.00461897,0.169133,-0.0419449,-0.0132352,0.0678254,0.0580592,0.026602,0.424807,0.00745306,0.00666889,0.29906,0.015067,0.00157616,0.0678254,-0.0128885,-0.0034932,0.424807,-0.00312458,0.00476583,0.29906,-0.00309641,0.00441363,0.169133,-0.000813769,-0.00128865
0.343296,-0.0416123,-0.00228328,0.179171,-0.0219549,0.008118,0.0720518,-0.00324734,0.00395535,0.449886,0.0675535,0.00494117,0.179171,-0.0430731,-0.0139794,0.0720518,0.0530093,0.0283918,0.449886,0.0117273,0.00691059,0.343296,0.00140419,0.001434,0.0720518,0.017299,-0.00388606,0.449886,-0.00546396,0.004874,0.343296,-0.00515325,0.00463422,0.179171,-0.00572242,-0.00154213
0.387532,0.0183905,-0.00211366,0.18921,-0.0161038,0.00878414,0.0762783,0.0433293,0.00441743,0.474965,0.105492,0.00526336,0.18921,-0.0933997,-0.0147236,0.0762783,-0.0225419,0.0301816,0.474965,0.027015,0.00715229,0.387532,-0.0171775,0.00129185,0.0762783,0.0163557,-0.00427891,0.474965,0.000904339,0.00498218,0.387532,0.00514217,0.00485481,0.18921,-0.00391094,-0.00179561
0.431768,0.0535392,-0.00194404,0.199248,0.00580005,0.00945027,0.0805048,0.0366269,0.00487951,0.500044,0.0853987,0.00558556,0.199248,-0.143349,-0.0154678,0.0805048,0.0314987,0.0319714,0.500044,0.0376419,0.00739399,0.431768,0.0018494,0.00114969,0.0805048,-0.0142236,-0.00467177,0.500044,0.00984932,0.00509036,0.431768,-0.000929698,0.0050754,0.199248,0.0007086,-0.00204909
0.476004,-0.016543,-0.00177442,0.209287,0.0190248,0.0101164,0.0847313,-0.0912034,0.00534158,0.525124,0.021426,0.00590775,0.209287,-0.10568,-0.016212,0.0847313,0.220719,0.0337612,0.525124,0.023713,0.0076357,0.476004,-0.0219718,0.00100754,0.0847313,-0.0243537,-0.00506463,0.525124,0.0118997,0.00519854,0.476004,-0.0076926,0.00529599,0.209287,-0.00583438,-0.00230256
0.52024,0.0196624,-0.0016048,0.219325,0.0258447,0.0107826,0.0889577,-0.056602,0.00580366,0.550203,-0.040673,0.00622995,0.219325,-0.0460574,-0.0169562,0.0889577,0.0466125,0.0355511,0.550203,0.000794929,0.0078774,0.52024,0.0212042,0.000865385,0.0889577,0.00468673,-0.00545748,0.550203,0.00594969,0.00530671,0.52024,0.0121682,0.00551658,0.219325,-0.0139473,-0.00255604
0.564476,-0.00951609,-0.00143518,0.229364,0.0305002,0.0114487,0.0931842,-0.0129466,0.00626574,0.575282,-0.0448866,0.00655215,0.229364,-0.0253494,-0.0177003,0.0931842,-0.0470505,0.0373409,0.575282,0.0080729,0.0081191,0.564476,-0.00519308,0.000723231,0.0931842,-0.000524372,-0.00585034,0.575282,-0.00071347,0.00541489,0.564476,-0.0100809,0.00573716,0.229364,-0.0147684,-0.00280952
0.608712,-0.0341487,-0.00126556,0.239402,0.0331965,0.0121148,0.0974107,-0.0102834,0.00672781,0.600361,-0.0227285,0.00687434,0.239402,-0.0347657,-0.0184445,0.0974107,0.0320377,0.0391307,0.600361,0.0268977,0.0083608,0.608712,0.0146873,0.000581077,0.0974107,-0.0293651,-0.0062432,0.600361,-0.0035226,0.00552307,0.608712,-0.00214559,0.00595775,0.239402,-0.0100342,-0.00306299
0.652949,-0.0298913,-0.00109594,0.249441,0.0333035,0.012781,0.101637,0.000772063,0.00718989,0.62544,-0.0210751,0.00719654,0.249441,-0.0490656,-0.0191887,0.101637,0.113665,0.0409205,0.62544,0.0283082,0.0086025,0.652949,0.0128426,0.000438923,0.101637,-0.0297599,-0.00663605,0.62544,0.000251934,0.00563124,0.652949,-0.00848508,0.00617834,0.249441,-0.00402533,-0.00331647
0.697185,0.0111531,-0.000926323,0.259479,0.0305036,0.0134471,0.105864,0.0253191,0.00765197,0.650519,-0.041719,0.00751873,0.259479,-0.0468941,-0.0199329,0.105864,0.137795,0.0427103,0.650519,0.0119513,0.0088442,0.697185,-0.0201419,0.000296768,0.105864,-0.00757914,-0.00702891,0.650519,0.00838798,0.00573942,0.697185,0.0159818,0.00639893,0.259479,-0.0004099,-0.00356995
0.741421,-0.0157396,-0.000756704,0.269518,0.0257712,0.0141133,0.11009,0.0433422,0.00811405,0.675598,-0.0636307,0.00784093,0.269518,-0.0263734,-0.0206771,0.11009,0.113802,0.0445001,0.675598,-0.00768505,0.00908591,0.741421,0.00362039,0.000154614,0.11009,0.000786791,-0.00742176,0.675598,0.0158035,0.0058476,0.741421,0.00121436,0.00661952,0.269518,0.000234955,-0.00382343
0.785657,0.0240417,-0.000587084,0.279556,0.0208654,0.0147794,0.114317,0.0495786,0.00857612,0.700677,-0.0683934,0.00816312,0.279556,0.00412668,-0.0214213,0.114317,0.0681235,0.04629,0.700677,-0.0178351,0.00932761,0.785657,-0.00254134,1.24603e-05,0.114317,-0.00803751,-0.00781462,0.700677,0.0180972,0.00595577,0.785657,0.0165642,0.00684011,0.279556,-0.00105722,-0.0040769
0.829893,0.049703,-0.000417464,0.289595,0.0176306,0.0154455,0.118543,0.0471586,0.0090382,0.725756,-0.0544904,0.00848532,0.289595,0.035955,-0.0221655,0.118543,0.0353892,0.0480798,0.725756,-0.0165459,0.00956931,0.829893,-0.0232751,-0.000129694,0.118543,-0.0189879,-0.00820748,0.725756,0.0150021,0.00606395,0.829893,0.023409,0.0070607,0.289595,-0.0032301,-0.00433038
0.874129,0.0279262,-0.000247845,0.299633,0.017715,0.0161117,0.122769,0.0392731,0.00950028,0.750835,-0.0300195,0.00880751,0.299633,0.0608374,-0.0229097,0.122769,0.0404706,0.0498696,0.750835,-0.00797317,0.00981101,0.874129,-0.0189783,-0.000271848,0.122769,-0.0204447,-0.00860033,0.750835,0.00857664,0.00617213,0.874129,0.00976322,0.00728129,0.299633,-0.00523264,-0.00458386
0.918365,0.0286024,-7.82249e-05,0.309672,0.0213145,0.0167778,0.126996,0.0293879,0.00996235,0.775914,-0.00411059,0.00912971,0.309672,0.0762087,-0.0236539,0.126996,0.0684188,0.0516594,0.775914,0.00308536,0.0100527,0.918365,0.00960588,-0.000414002,0.126996,-0.0151939,-0.00899319,0.775914,0.0011679,0.0062803,0.918365,0.0156452,0.00750188,0.309672,-0.00663775,-0.00483734
0.962601,0.0348531,9.13948e-05,0.31971,0.0279135,0.017444,0.131222,0.0208745,0.0104244,0.800993,0.0145373,0.00945191,0.31971,0.0826691,-0.0243981,0.131222,0.094761,0.0534492,0.800993,0.0120566,0.0102944,0.962601,0.0130891,-0.000556156,0.131222,-0.00958275,-0.00938605,0.800993,-0.00498711,0.00638848,0.962601,0.026672,0.00772247,0.31971,-0.00741506,-0.00509081
1.00684,0.0206339,0.000261014,0.329749,0.0363521,0.0181101,0.135449,0.0166857,0.0108865,0.826072,0.0213618,0.0097741,0.329749,0.0828027,-0.0251423,0.135449,0.0988414,0.055239,0.826072,0.0164324,0.0105361,1.00684,-0.0211636,-0.00069831,0.135449,-0.00877885,-0.0097789,0.826072,-0.00867435,0.00649666,1.00684,0.0270498,0.00794306,0.329749,-0.00768738,-0.00534429
1.05107,-0.0146252,0.000430634,0.339787,0.0457314,0.0187762,0.139675,0.0165181,0.0113486,0.851151,0.0177724,0.0100963,0.339787,0.0777023,-0.0258865,0.139675,0.0819724,0.0570289,0.851151,0.0166211,0.0107778,1.05107,-0.0264745,-0.000840464,0.139675,-0.0117876,-0.0101718,0.851151,-0.0101336,0.00660483,1.05107,0.021802,0.00816365,0.339787,-0.0074232,-0.00559777
1.09531,-0.0433464,0.000600254,0.349825,0.0550586,0.0194424,0.143902,0.0193622,0.0118107,0.87623,0.00527692,0.0104185,0.349825,0.0711503,-0.0266307,0.143902,0.0516761,0.0588187,0.87623,0.0131155,0.0110195,1.09531,-0.0103055,-0.000982618,0.143902,-0.0151715,-0.0105646,0.87623,-0.00964059,0.00671301,1.09531,0.0169388,0.00838424,0.349825,-0.00694626,-0.00585124
1.13955,-0.0349409,0.000769874,0.359864,0.06324,0.0201085,0.148128,0.0229543,0.0122727,0.901309,-0.0133878,0.0107407,0.359864,0.063751,-0.0273749,0.148128,0.0195098,0.0606085,0.901309,0.00692019,0.0112612,1.13955,-0.00106302,-0.00112477,0.148128,-0.0170425,-0.0109575,0.901309,-0.00774113,0.00682119,1.13955,0.0174037,0.00860483,0.359864,-0.00611723,-0.00610472
