beta_vs_delta_abscissa,beta_vs_delta_spline,beta_vs_delta_regression,beta_vs_p_abscissa,beta_vs_p_spline,beta_vs_p_regression,beta_vs_tin_abscissa,beta_vs_tin_spline,beta_vs_tin_regression,delta_vs_beta_abscissa,delta_vs_beta_spline,delta_vs_beta_regression,delta_vs_p_abscissa,delta_vs_p_spline,delta_vs_p_regression,delta_vs_tin_abscissa,delta_vs_tin_spline,delta_vs_tin_regression,p_vs_beta_abscissa,p_vs_beta_spline,p_vs_beta_regression,p_vs_delta_abscissa,p_vs_delta_spline,p_vs_delta_regression,p_vs_tin_abscissa,p_vs_tin_spline,p_vs_tin_regression,tin_vs_beta_abscissa,tin_vs_beta_spline,tin_vs_beta_regression,tin_vs_delta_abscissa,tin_vs_delta_spline,tin_vs_delta_regression,tin_vs_p_abscissa,tin_vs_p_spline,tin_vs_p_regression
1.18378,0.00383961,0.000939493,0.369902,0.0669283,0.0207747,0.152355,0.0271166,0.0127348,0.926388,-0.0371791,0.0110629,0.369902,0.0607441,-0.0281191,0.152355,-0.0107391,0.0623983,0.926388,-0.00172068,0.0115029,1.18378,-0.00364591,-0.00126693,0.152355,-0.0140662,-0.0113503,0.926388,-0.00458579,0.00692936,1.18378,0.0226799,0.00882542,0.369902,-0.00498163,-0.0063582
1.22802,0.0475732,0.00110911,0.379941,0.0706166,0.0214408,0.156581,0.0310644,0.0131969,0.951467,-0.0630093,0.0113851,0.379941,0.0577371,-0.0288633,0.156581,-0.0367635,0.0641881,0.951467,-0.0114349,0.0117446,1.22802,-0.0108463,-0.00140908,0.156581,-0.00730742,-0.0117432,0.951467,-0.000889273,0.00703754,1.22802,0.0295089,0.00904601,0.379941,-0.00384603,-0.00661168
1.27225,0.0694562,0.00127873,0.389979,0.0729051,0.0221069,0.160808,0.034523,0.013659,0.976546,-0.0899004,0.0117073,0.389979,0.0566347,-0.0296075,0.160808,-0.0589943,0.0659779,0.976546,-0.0222812,0.0119863,1.27225,-0.0151468,-0.00155123,0.160808,0.00159744,-0.012136,0.976546,0.00332625,0.00714572,1.27225,0.0344889,0.0092666,0.389979,-0.0026896,-0.00686515
1.31649,0.0594175,0.00144835,0.400018,0.0621071,0.0227731,0.165034,0.0368529,0.014121,1.00163,-0.116259,0.0120295,0.400018,0.0752935,-0.0303517,0.165034,-0.0764192,0.0677678,1.00163,-0.0333357,0.012228,1.31649,-0.0130522,-0.00169339,0.165034,0.0110744,-0.0125289,1.00163,0.00760268,0.0072539,1.31649,0.0360751,0.00948719,0.400018,-0.00161051,-0.00711863
1.36073,0.0257894,0.00161797,0.410056,0.0498569,0.0234392,0.169261,0.0381542,0.0145831,1.0267,-0.131259,0.0123517,0.410056,0.0962691,-0.0310959,0.169261,-0.0913427,0.0695576,1.0267,-0.0416916,0.0124697,1.36073,-0.00598866,-0.00183554,0.169261,0.0189887,-0.0129218,1.0267,0.0102225,0.00736207,1.36073,0.0349203,0.00970778,0.410056,-0.000557252,-0.00737211
1.40496,-0.0228971,0.00178759,0.420095,0.0376068,0.0241054,0.173487,0.0357147,0.0150452,1.05178,-0.132585,0.0126739,0.420095,0.117245,-0.0318401,0.173487,-0.0987146,0.0713474,1.05178,-0.0463584,0.0127114,1.40496,0.00457061,-0.0019777,0.173487,0.0195049,-0.0133146,1.05178,0.0106657,0.00747025,1.40496,0.0315252,0.00992837,0.420095,0.000496002,-0.00762558
1.4492,-0.0722052,0.00195721,0.430133,0.0102709,0.0247715,0.177714,0.0332752,0.0155073,1.07686,-0.133912,0.0129961,0.430133,0.163777,-0.0325843,0.177714,-0.106086,0.0731372,1.07686,-0.0510253,0.0129531,1.4492,0.0157294,-0.00211985,0.177714,0.0200212,-0.0137075,1.07686,0.011109,0.00757843,1.4492,0.0273482,0.010149,0.430133,0.00107359,-0.00787906
1.49343,-0.114894,0.00212683,0.440172,-0.0257913,0.0254376,0.18194,0.0308357,0.0159694,1.10194,-0.135238,0.0133183,0.440172,0.22577,-0.0333285,0.18194,-0.113458,0.074927,1.10194,-0.0556921,0.0131948,1.49343,0.0261741,-0.002262,0.18194,0.0205374,-0.0141003,1.10194,0.0115522,0.0076866,1.49343,0.0229101,0.0103695,0.440172,0.0012815,-0.00813254
1.53767,-0.133775,0.00229645,0.45021,-0.0918188,0.0261038,0.186167,0.0279308,0.0164314,1.12702,-0.136565,0.0136404,0.45021,0.341695,-0.0340727,0.186167,-0.120219,0.0767169,1.12702,-0.0603589,0.0134365,1.53767,0.0327818,-0.00240416,0.186167,0.0197688,-0.0144932,1.12702,0.0119954,0.00779478,1.53767,0.019454,0.0105901,0.45021,0.000103489,-0.00838602
1.58191,-0.125039,0.00246607,0.460249,-0.157846,0.0267699,0.190393,0.0189734,0.0168935,1.1521,-0.137892,0.0139626,0.460249,0.45762,-0.0348169,0.190393,-0.119794,0.0785067,1.1521,-0.0650258,0.0136782,1.58191,0.0346755,-0.00254631,0.190393,0.00144599,-0.014886,1.1521,0.0124387,0.00790296,1.58191,0.017536,0.0108107,0.460249,-0.00107453,-0.00863949
1.62614,-0.0714988,0.00263569,0.470287,-0.223874,0.027436,0.194619,0.00810873,0.0173556,1.17718,-0.0932172,0.0142848,0.470287,0.573545,-0.0355611,0.194619,-0.117756,0.0802965,1.17718,-0.0557031,0.0139199,1.62614,0.0287138,-0.00268847,0.194619,-0.0231301,-0.0152789,1.17718,0.0049059,0.00801113,1.62614,0.0184279,0.0110313,0.470287,-0.00225254,-0.00889297
1.67038,0.0381255,0.00280531,0.480326,-0.289901,0.0281022,0.198846,-0.0064872,0.0178177,1.20226,-0.0395209,0.014607,0.480326,0.689469,-0.0363053,0.198846,-0.113075,0.0820863,1.20226,-0.0436367,0.0141616,1.67038,0.0127572,-0.00283062,0.198846,-0.0605113,-0.0156717,1.20226,-0.00419118,0.00811931,1.67038,0.0230817,0.0112519,0.480326,-0.00343056,-0.00914645
1.71461,0.20649,0.00297493,0.490364,-0.355929,0.0287683,0.203072,-0.0244152,0.0182797,1.22734,0.0141754,0.0149292,0.490364,0.805394,-0.0370495,0.203072,-0.106447,0.0838761,1.22734,-0.0315704,0.0144033,1.71461,-0.0137678,-0.00297278,0.203072,-0.109784,-0.0160646,1.22734,-0.0132883,0.00822749,1.71461,0.0318276,0.0114725,0.490364,-0.00460857,-0.00939992
