standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-1.76883,0.05,-1.59649,0.05,-1.72767,0.05,-1.65739,0.05,All
-1.76454,0.0507937,-1.59249,0.0507937,-1.70654,0.0507937,-1.64885,0.0507937,All
-1.73792,0.0515873,-1.58712,0.0515873,-1.70494,0.0515873,-1.64746,0.0515873,All
-1.70606,0.052381,-1.57164,0.052381,-1.70453,0.052381,-1.64531,0.052381,All
-1.69682,0.0531746,-1.56883,0.0531746,-1.70161,0.0531746,-1.63851,0.0531746,All
-1.67028,0.0539683,-1.55513,0.0539683,-1.69909,0.0539683,-1.63826,0.0539683,All
-1.66894,0.0547619,-1.55295,0.0547619,-1.69233,0.0547619,-1.61935,0.0547619,All
-1.66705,0.0555556,-1.55218,0.0555556,-1.68052,0.0555556,-1.61909,0.0555556,All
-1.66363,0.0563492,-1.55041,0.0563492,-1.67089,0.0563492,-1.59632,0.0563492,All
-1.66238,0.0571429,-1.52822,0.0571429,-1.66388,0.0571429,-1.59592,0.0571429,All
-1.65667,0.0579365,-1.52365,0.0579365,-1.65748,0.0579365,-1.5844,0.0579365,All
-1.65303,0.0587302,-1.51728,0.0587302,-1.65723,0.0587302,-1.5843,0.0587302,All
-1.6441,0.0595238,-1.51539,0.0595238,-1.65463,0.0595238,-1.58207,0.0595238,All
-1.64169,0.0603175,-1.48874,0.0603175,-1.63601,0.0603175,-1.58191,0.0603175,All
-1.63954,0.0611111,-1.48872,0.0611111,-1.61635,0.0611111,-1.56506,0.0611111,All
-1.63255,0.0619048,-1.48837,0.0619048,-1.61268,0.0619048,-1.56363,0.0619048,All
-1.63252,0.0626984,-1.48281,0.0626984,-1.60437,0.0626984,-1.56214,0.0626984,All
-1.63222,0.0634921,-1.45452,0.0634921,-1.60269,0.0634921,-1.52773,0.0634921,All
-1.62026,0.0642857,-1.45045,0.0642857,-1.5921,0.0642857,-1.52766,0.0642857,All
-1.61484,0.0650794,-1.44543,0.0650794,-1.59102,0.0650794,-1.51051,0.0650794,All
-1.60951,0.065873,-1.43346,0.065873,-1.58552,0.065873,-1.50678,0.065873,All
-1.60026,0.0666667,-1.43106,0.0666667,-1.55902,0.0666667,-1.49932,0.0666667,All
-1.5965,0.0674603,-1.41777,0.0674603,-1.55829,0.0674603,-1.49286,0.0674603,All
-1.59004,0.068254,-1.41719,0.068254,-1.54932,0.068254,-1.49184,0.068254,All
-1.58949,0.0690476,-1.41682,0.0690476,-1.54479,0.0690476,-1.48853,0.0690476,All
-1.57806,0.0698413,-1.41448,0.0698413,-1.54408,0.0698413,-1.48266,0.0698413,All
-1.5749,0.0706349,-1.40917,0.0706349,-1.54065,0.0706349,-1.46623,0.0706349,All
-1.56292,0.0714286,-1.39047,0.0714286,-1.52476,0.0714286,-1.46427,0.0714286,All
-1.56062,0.0722222,-1.38778,0.0722222,-1.51523,0.0722222,-1.4639,0.0722222,All
-1.55271,0.0730159,-1.38606,0.0730159,-1.51164,0.0730159,-1.45413,0.0730159,All
-1.54823,0.0738095,-1.38202,0.0738095,-1.50241,0.0738095,-1.44265,0.0738095,All
-1.51735,0.0746032,-1.37131,0.0746032,-1.50153,0.0746032,-1.43455,0.0746032,All
-1.51603,0.0753968,-1.34073,0.0753968,-1.50034,0.0753968,-1.43324,0.0753968,All
-1.51346,0.0761905,-1.33916,0.0761905,-1.4924,0.0761905,-1.42754,0.0761905,All
-1.50615,0.0769841,-1.33676,0.0769841,-1.4919,0.0769841,-1.42323,0.0769841,All
-1.4984,0.0777778,-1.32764,0.0777778,-1.48524,0.0777778,-1.42223,0.0777778,All
-1.48414,0.0785714,-1.32228,0.0785714,-1.48316,0.0785714,-1.41636,0.0785714,All
-1.45687,0.0793651,-1.31852,0.0793651,-1.47694,0.0793651,-1.40688,0.0793651,All
