rep,ID,standEta_tin_simulated,standEta_beta_simulated,standEta_delta_simulated,standEta_p_simulated,source,filter
16,37,-1.80018,0.0404004,-0.606797,1.22942,Neant,0
17,37,1.31506,1.21427,0.0320322,-0.883568,Neant,0
18,37,-2.42644,0.393028,-0.184436,0.584381,Neant,0
19,37,0.648014,1.6498,0.0953258,-1.39058,Neant,0
20,37,-1.08631,-0.116755,1.21331,0.74096,Neant,0
21,37,0.245767,1.37055,0.0985697,0.975252,Neant,0
1,38,-1.51346,-1.17747,-0.430525,0.367252,Neant,0
2,38,0.766292,1.29328,1.37559,-0.388893,Neant,0
3,38,-0.641056,0.985159,0.433217,0.634658,Neant,0
4,38,0.979221,-0.280892,0.454764,1.87463,Neant,0
5,38,-0.724716,-0.864039,0.3885,-1.01339,Neant,0
6,38,2.62574,-0.0422687,0.790794,-0.726198,Neant,0
7,38,-0.684996,0.88915,0.570752,-0.218682,Neant,0
8,38,-1.57806,0.557804,0.313583,2.22416,Neant,0
9,38,0.353281,0.599175,0.839137,0.726815,Neant,0
10,38,-0.437544,-1.26848,0.0795655,-0.217587,Neant,0
11,38,2.16122,-1.94005,0.958788,-0.0978327,Neant,0
12,38,0.353178,0.485663,-0.00708464,1.05462,Neant,0
13,38,1.54162,0.745984,1.18463,-1.52766,Neant,0
14,38,0.467712,1.95167,0.749526,0.90622,Neant,0
15,38,1.03048,1.35841,0.504032,0.0327689,Neant,0
16,38,-1.12273,1.21171,0.621394,0.165651,Neant,0
17,38,-1.85028,2.28096,-0.435574,-0.712466,Neant,0
18,38,-0.0184864,0.0987125,0.879472,-0.0917431,Neant,0
19,38,-0.0841717,-1.28987,-0.312272,0.956426,Neant,0
20,38,-0.33498,-0.349801,1.607,1.67637,Neant,0
21,38,1.76444,0.993729,1.03882,-0.359796,Neant,0
1,39,0.517043,0.568545,-0.790804,0.923971,Neant,0
2,39,1.96013,0.0200939,-0.852774,-0.290721,Neant,0
3,39,1.00698,-0.545452,-1.4919,0.161865,Neant,0
4,39,-0.0320932,-1.74226,-1.33484,-0.834782,Neant,0
5,39,0.0393286,1.15256,-0.439958,1.04438,Neant,0
6,39,1.62404,0.257465,-0.798798,0.0200625,Neant,0
7,39,1.00918,-0.0164256,-0.556055,0.945543,Neant,0
8,39,1.83934,-0.349553,-1.05291,-0.951643,Neant,0
9,39,-0.188132,-0.100384,-1.15666,0.734516,Neant,0
10,39,0.29328,0.82191,-1.14666,-0.200956,Neant,0
11,39,-0.366141,0.277723,-1.14982,0.106455,Neant,0
12,39,0.488014,0.167045,-0.710821,0.806311,Neant,0
13,39,-0.478736,0.67289,-0.81184,1.81733,Neant,0
14,39,1.10777,0.536297,-1.0026,0.42808,Neant,0
15,39,0.509317,0.223706,-1.5921,-0.16697,Neant,0
16,39,1.66782,-0.0623813,-1.18826,-0.561314,Neant,0
17,39,-0.814319,0.804228,-1.27767,-0.437087,Neant,0
18,39,-0.44498,0.0103063,-0.400063,0.701127,Neant,0
19,39,-0.122243,0.553831,-1.37765,-2.03973,Neant,0
20,39,-0.0720639,0.632076,-1.12478,0.632033,Neant,0
21,39,1.81598,0.819319,-0.748184,-1.0287,Neant,0
1,40,0.906385,1.09347,0.833696,-3.51458,Neant,0
2,40,-1.63252,-0.587081,0.599934,0.802573,Neant,0
3,40,-0.675947,-1.06231,1.69943,-1.16837,Neant,0
4,40,-1.88411,-0.0168551,0.935117,-1.0336,Neant,0
5,40,-0.64185,-0.386187,0.57084,-0.628687,Neant,0
6,40,-0.429489,-2.21097,2.09411,0.768287,Neant,0
7,40,-1.48414,-2.55731,1.32544,0.541683,Neant,0
8,40,-1.28707,0.116412,0.737962,0.067097,Neant,0
9,40,0.654545,0.22112,1.48912,1.68708,Neant,0
10,40,-1.59004,-1.072,0.922168,-0.783669,Neant,0
11,40,-0.917098,-1.072,1.66315,-1.04491,Neant,0
12,40,-1.51735,-0.92224,0.570446,-0.29897,Neant,0
13,40,-1.05366,-1.13767,0.853094,0.964322,Neant,0
14,40,-0.492703,-1.64301,0.892801,0.695528,Neant,0
15,40,-0.976592,0.3783,0.881929,0.34563,Neant,0
16,40,0.441302,0.103581,1.57228,-1.08582,Neant,0
17,40,-0.146503,-0.109985,0.575681,-1.88883,Neant,0
18,40,-1.10978,1.0839,0.61309,0.0050634,Neant,0
19,40,-1.63255,-0.230171,0.492277,0.0762641,Neant,0
20,40,-0.616242,-1.30257,0.961711,0.607007,Neant,0
21,40,-0.61598,-1.39047,2.44691,0.333551,Neant,0
1,41,-0.0305834,0.28967,-0.305448,-0.473293,Neant,0
2,41,-0.179007,1.15488,-0.431093,0.291031,Neant,0
3,41,0.148678,-0.668919,0.208993,1.01673,Neant,0
4,41,-0.695542,-0.459949,-0.104814,0.0614525,Neant,0
5,41,-0.818251,0.256841,-0.741544,-1.72281,Neant,0
6,41,0.456361,-0.0887839,-0.122358,0.271731,Neant,0
7,41,0.17966,-0.489674,-0.26705,-0.478363,Neant,0
8,41,0.849918,1.22443,-0.460041,-0.133094,Neant,0
9,41,-1.45351,-0.749902,-1.63601,-1.09008,Neant,0
10,41,-0.778989,1.61277,0.219358,0.98925,Neant,0
11,41,-0.800064,0.163257,-0.0428548,-0.983624,Neant,0
12,41,0.151948,-0.933875,0.600945,0.468693,Neant,0
13,41,1.21791,-1.85586,0.0428397,-1.33265,Neant,0
14,41,-1.04836,-0.716269,-0.463881,0.303527,Neant,0
15,41,0.654161,-1.30615,-0.978923,-1.03265,Neant,0
16,41,-1.09455,2.37286,-0.151871,1.28486,Neant,0
17,41,0.739977,-0.0715313,0.282615,-0.423256,Neant,0
18,41,0.465296,-2.91824,-0.704705,0.949936,Neant,0
19,41,-0.5552,0.489806,-0.76457,-0.372205,Neant,0
20,41,1.80072,0.432735,1.46471,-0.589985,Neant,0
21,41,-0.209555,1.25689,0.45238,-0.446667,Neant,0
1,42,-0.0607189,0.251791,-1.50241,0.606457,Neant,0
2,42,1.05833,1.35544,-0.740628,1.95572,Neant,0
3,42,2.71764,-0.0493774,-0.740628,0.127259,Neant,0
4,42,0.52338,-0.149361,-1.01654,0.497284,Neant,0
5,42,0.731352,1.16938,-0.885589,0.444102,Neant,0
6,42,0.755448,1.56453,-1.13716,-0.488559,Neant,0
7,42,1.70975,-1.55218,-0.939611,1.06826,Neant,0
8,42,-0.0650532,1.82888,-1.69233,0.235009,Neant,0
9,42,0.692865,1.84098,-1.33754,-2.1145,Neant,0
10,42,1.68229,-0.0806556,-0.747791,0.326194,Neant,0
11,42,0.760738,1.02463,-1.38224,1.31892,Neant,0
12,42,2.19991,0.548457,-0.919414,-0.8155,Neant,0
13,42,2.35525,0.845667,-0.787562,0.151971,Neant,0
14,42,1.11832,-0.756368,-0.336315,2.08014,Neant,0
15,42,0.309478,0.419757,-1.61635,-0.294621,Neant,0
16,42,-1.0643,1.84155,-1.42799,-0.916668,Neant,0
17,42,1.02392,0.0865025,-2.11745,-0.277789,Neant,0
18,42,1.59976,0.0865025,-0.850529,0.937403,Neant,0
19,42,2.09497,0.226908,-0.760006,1.32624,Neant,0
20,42,1.09111,-0.119152,-1.70161,-0.119733,Neant,0
21,42,1.94614,-1.02975,-1.15453,0.674647,Neant,0
1,43,-0.24537,-0.0109836,0.469484,0.258279,Kissler,0
2,43,-0.0109212,-0.356426,0.449947,1.58334,Kissler,0
3,43,0.198712,-0.520403,0.336938,1.15413,Kissler,0
4,43,0.503056,1.32758,0.604401,-0.314041,Kissler,0
5,43,-0.183358,-0.980449,-0.100345,0.600528,Kissler,0
6,43,-0.264465,-0.40991,0.480432,0.202629,Kissler,0
7,43,-0.264465,-0.40815,0.0605429,-0.559911,Kissler,0
8,43,-0.170069,-1.15052,0.0605429,-0.637744,Kissler,0
9,43,-0.105091,-0.334535,0.388569,-0.0200652,Kissler,0
10,43,-0.179768,-0.368352,-0.320736,-1.46427,Kissler,0
11,43,0.442579,-0.417903,-0.612224,0.048481,Kissler,0
12,43,-0.0980144,0.145301,0.115669,-0.635644,Kissler,0
13,43,-0.896691,0.695948,0.271061,-1.00516,Kissler,0
14,43,-0.24046,-0.846119,-0.379186,-0.457096,Kissler,0
15,43,-0.352126,-1.24752,-0.328993,-0.530948,Kissler,0
16,43,-0.980437,-0.541691,-0.623366,-0.772893,Kissler,0
17,43,-1.11149,-1.23001,-0.621045,-1.06434,Kissler,0
18,43,0.372164,-0.99219,-0.231687,0.702021,Kissler,0
19,43,0.372164,1.09022,0.330576,0.554509,Kissler,0
20,43,-0.0974385,-0.756986,-0.105004,0.501759,Kissler,0
21,43,-0.211594,-1.28887,0.00835525,-0.116579,Kissler,0
1,44,0.259509,-1.19107,-0.725551,-0.935451,Kissler,0
2,44,0.330618,0.310842,-0.163847,0.29785,Kissler,0
3,44,-0.620578,-0.37314,0.0406087,0.264502,Kissler,0
4,44,1.1519,0.332101,0.560947,-0.441215,Kissler,0
5,44,1.82256,0.402619,0.560947,-0.441215,Kissler,0
6,44,1.14227,0.587857,0.0300734,-0.0039505,Kissler,0
7,44,1.61644,0.793989,-0.180263,-0.00830455,Kissler,0
8,44,1.23509,-0.284713,0.65189,0.833068,Kissler,0
9,44,0.328777,-0.785845,-0.146081,0.557868,Kissler,0
10,44,1.12323,0.00979027,0.350515,-0.309216,Kissler,0
11,44,1.12323,0.166527,-0.118377,-1.1898,Kissler,0
12,44,1.26799,0.166527,0.538157,-0.351734,Kissler,0
13,44,1.0532,0.745414,0.0576737,2.73287,Kissler,0
14,44,0.305356,-0.517642,0.0576737,-1.21836,Kissler,0
15,44,-0.872023,-0.130552,-0.136977,-1.65949,Kissler,0
16,44,1.65627,0.791328,0.6267,-1.40688,Kissler,0
17,44,1.49444,0.846116,0.570313,-0.639029,Kissler,0
18,44,1.49444,0.846116,0.213587,-1.10295,Kissler,0
19,44,0.790096,-0.679478,0.568966,1.09561,Kissler,0
20,44,1.49851,-0.250736,0.2018,0.224899,Kissler,0
21,44,0.666553,0.332265,-0.0737024,-2.07175,Kissler,0
1,45,0.906737,-0.27054,0.865164,-1.61935,Kissler,0
2,45,1.54466,-0.350778,2.22126,1.06359,Kissler,0
3,45,1.135,-0.490949,0.787071,-0.373813,Kissler,0
4,45,0.276868,-0.580428,0.357403,-1.59592,Kissler,0
5,45,-0.466399,-0.710789,0.887364,0.64862,Kissler,0
6,45,1.00588,0.072738,1.25838,-0.879737,Kissler,0
7,45,0.49697,-0.602676,0.529712,-1.3396,Kissler,0
8,45,0.115136,-1.32764,-0.102185,-0.414084,Kissler,0
9,45,0.283347,-1.05275,0.427022,-0.302221,Kissler,0
10,45,1.24185,-0.280443,2.00304,1.17073,Kissler,0
11,45,0.587046,0.280807,0.906824,-0.0687057,Kissler,0
12,45,0.587046,0.879834,1.70432,-1.28809,Kissler,0
13,45,0.570357,-0.78183,0.494614,1.07081,Kissler,0
14,45,0.681997,-0.904087,0.61733,0.342582,Kissler,0
15,45,0.502596,-1.24766,0.807172,1.56346,Kissler,0
16,45,0.582924,-1.24766,0.853639,1.00012,Kissler,0
17,45,0.476229,-0.678541,1.40011,-0.446265,Kissler,0
18,45,0.744254,-0.624934,0.851043,0.348886,Kissler,0
19,45,0.172543,-0.212435,0.244374,-0.68886,Kissler,0
20,45,1.2552,-1.59673,0.544591,0.654699,Kissler,0
21,45,0.359312,-1.84395,0.0762524,-1.07765,Kissler,0
1,46,0.363245,-0.992465,1.02674,-1.07934,Kissler,0
2,46,0.440743,-0.115048,0.665629,-2.01571,Kissler,0
3,46,1.01567,-0.14071,1.01179,-0.759256,Kissler,0
4,46,-0.0625869,-0.459849,0.255576,-0.140612,Kissler,0
5,46,1.37738,0.261679,1.17002,-0.749126,Kissler,0
6,46,1.19481,-0.0583408,0.540215,-0.559183,Kissler,0
7,46,1.44126,1.01783,1.76162,0.301552,Kissler,0
8,46,1.06029,0.264864,1.2636,-2.16174,Kissler,0
9,46,1.47902,0.399747,0.568127,-1.09779,Kissler,0
10,46,1.73835,0.33414,1.16691,-1.87397,Kissler,0
11,46,0.0440529,-0.184762,0.114123,0.568267,Kissler,0
12,46,0.968792,-0.238255,1.39432,0.172833,Kissler,0
13,46,1.3538,0.53361,1.4929,-1.94361,Kissler,0
14,46,1.39852,1.84859,1.96515,-1.94361,Kissler,0
15,46,-0.253795,0.966987,0.0433251,-1.64746,Kissler,0
16,46,0.606396,-0.591816,0.578117,-1.56506,Kissler,0
17,46,0.249542,0.114985,1.47514,-2.33174,Kissler,0
18,46,0.42021,-1.04147,0.0855264,-0.0340967,Kissler,0
19,46,1.24645,-0.836167,1.35382,1.1052,Kissler,0
20,46,1.08608,-1.14833,0.852674,-1.08594,Kissler,0
21,46,1.35829,-1.10038,-0.0437932,0.661977,Kissler,0
1,47,-0.10811,-2.18238,0.953542,-0.481675,Kissler,0
2,47,0.0657431,-0.486236,1.13285,-1.79597,Kissler,0
3,47,0.118502,-1.07513,0.877623,-0.697598,Kissler,0
4,47,-0.168012,-1.25367,0.669663,-1.81472,Kissler,0
5,47,0.525076,-1.88818,0.956597,0.36149,Kissler,0
6,47,0.150499,-1.60096,1.15709,0.130137,Kissler,0
7,47,0.208395,-1.29512,1.17401,0.249391,Kissler,0
8,47,0.284484,-1.44543,1.336,-0.154738,Kissler,0
9,47,0.0249747,-0.829115,2.16798,-0.226319,Kissler,0
10,47,0.440698,-0.29012,2.07709,-0.804947,Kissler,0
11,47,0.361081,0.159904,1.96896,-1.49184,Kissler,0
12,47,0.5478,-0.69448,1.83547,-1.00292,Kissler,0
13,47,0.216004,-0.793918,0.499694,-1.56214,Kissler,0
14,47,0.15308,-0.171123,1.3695,0.120549,Kissler,0
15,47,0.69704,-0.229187,1.4767,-2.19927,Kissler,0
16,47,0.832965,-2.00604,0.927239,-1.80532,Kissler,0
17,47,0.118917,-1.38606,0.133706,-1.95636,Kissler,0
18,47,0.706095,-0.716042,1.41734,0.390199,Kissler,0
19,47,-0.738729,-1.86381,-0.113642,0.209627,Kissler,0
20,47,-0.356707,-1.66644,0.458351,-2.44046,Kissler,0
21,47,0.8203,-0.822673,1.5489,-1.03862,Kissler,0
1,48,-2.84926,-0.972927,0.539904,0.46948,Kissler,0
2,48,-2.4948,0.433615,0.842007,-0.894344,Kissler,0
3,48,-2.32448,-0.791105,0.200405,-0.471721,Kissler,0
4,48,-2.32448,-1.26594,-0.296793,-0.461985,Kissler,0
5,48,-2.89467,-1.87543,-0.347077,-0.695851,Kissler,0
6,48,-3.00922,-1.0113,-0.0323609,-2.38258,Kissler,0
7,48,-0.709584,-0.55713,0.668798,-1.1707,Kissler,0
8,48,-2.22043,-0.685782,-0.0433275,-1.13938,Kissler,0
9,48,-1.84292,-1.48837,0.831533,0.145887,Kissler,0
10,48,-2.80885,-0.18046,0.847355,-0.139999,Kissler,0
11,48,-2.80885,-1.48874,0.477328,0.4456,Kissler,0
12,48,-2.67669,1.18165,1.21981,-0.579327,Kissler,0
13,48,-2.32984,0.769561,0.635583,-0.391186,Kissler,0
14,48,-2.18132,-0.389441,1.59348,1.2667,Kissler,0
15,48,-2.37925,1.43232,1.26459,-0.322409,Kissler,0
16,48,-2.37925,-1.18599,-0.554604,-0.68387,Kissler,0
17,48,-2.99965,-1.0948,-0.0632009,-1.25931,Kissler,0
18,48,-2.06525,1.18546,1.09505,0.767018,Kissler,0
19,48,-1.95747,-0.996891,0.638688,0.114938,Kissler,0
20,48,-2.50915,1.58466,0.905418,-0.373353,Kissler,0
21,48,-2.50915,0.134169,0.211409,2.03424,Kissler,0
1,49,1.38315,0.395879,1.28648,-0.162219,Kissler,0
2,49,0.0298924,0.708562,1.1057,0.465395,Kissler,0
3,49,0.984712,-0.646865,1.4825,0.595118,Kissler,0
4,49,0.339931,1.50469,0.131124,1.21286,Kissler,0
5,49,0.35027,0.418274,0.583747,-2.38791,Kissler,0
6,49,-0.173787,-0.894071,0.4922,-1.39347,Kissler,0
7,49,0.223745,-0.0403595,0.926175,2.4762,Kissler,0
8,49,0.223745,0.0320247,0.865007,-0.254335,Kissler,0
9,49,-0.373676,-0.340689,1.12391,0.704031,Kissler,0
10,49,-0.378877,-0.830639,-0.441567,-1.25172,Kissler,0
11,49,-0.363694,-0.234958,0.0443291,-0.443465,Kissler,0
12,49,-0.363694,-0.681643,0.77834,1.41571,Kissler,0
13,49,0.356027,-0.0323978,0.834621,0.689244,Kissler,0
14,49,0.356027,-0.0323978,0.834621,0.801557,Kissler,0
15,49,0.695955,-2.43787,-0.557379,0.19893,Kissler,0
16,49,0.828939,0.236341,1.44395,-2.69148,Kissler,0
17,49,0.0721968,0.0262567,1.41953,2.94199,Kissler,0
18,49,1.04947,0.456427,0.361248,-0.68413,Kissler,0
19,49,-0.186192,0.0814244,1.05164,-2.89818,Kissler,0
20,49,1.53528,-1.16367,1.03385,0.838665,Kissler,0
21,49,-0.32172,-0.169853,0.362153,-0.409319,Kissler,0
1,50,-0.34761,-0.730597,-0.26442,0.796088,Kissler,0
2,50,0.402038,-1.00431,0.2244,-1.18986,Kissler,0
3,50,0.284543,-1.41719,0.254208,0.9926,Kissler,0
4,50,-2.38756,-0.0742996,0.0835319,-0.220573,Kissler,0
5,50,-2.4274,-0.0742996,-0.122322,-0.220573,Kissler,0
6,50,-2.59305,0.0212322,-0.518467,0.611746,Kissler,0
7,50,-2.46674,-0.0330333,-0.567186,0.61507,Kissler,0
8,50,-2.07578,0.699671,-0.336382,0.00077947,Kissler,0
9,50,-2.68933,-0.00545002,-0.865103,-1.68086,Kissler,0
10,50,-2.37138,0.0086984,-0.477671,-0.932774,Kissler,0
11,50,-2.36632,0.321354,-0.551138,0.336839,Kissler,0
12,50,-2.00424,0.583948,-0.37006,0.717322,Kissler,0
13,50,-2.74741,-0.0804446,-0.399305,-0.494576,Kissler,0
14,50,-1.96792,0.252451,-0.124677,-0.498904,Kissler,0
15,50,-0.543682,0.43894,0.228486,0.0117756,Kissler,0
16,50,-0.202189,-0.405433,-0.128869,0.34043,Kissler,0
17,50,1.22281,-2.42966,-0.269908,-0.0969821,Kissler,0
18,50,1.01228,-0.760307,-0.20052,-1.98769,Kissler,0
19,50,-1.03078,-0.51948,-0.257872,0.291919,Kissler,0
20,50,-0.21221,-1.89983,-0.276315,0.455374,Kissler,0
21,50,-0.424525,0.208434,-0.0239237,-0.571853,Kissler,0
1,51,0.089009,0.553483,0.0997954,1.77689,Kissler,0
2,51,-0.277574,0.635927,0.715379,0.714396,Kissler,0
3,51,-0.64544,-1.15351,-0.23619,0.527767,Kissler,0
4,51,-0.731487,-1.61072,0.306114,1.44162,Kissler,0
5,51,-0.112339,0.787469,0.344585,0.300571,Kissler,0
6,51,-0.721087,-0.894006,-0.223792,0.16381,Kissler,0
7,51,0.530638,0.423543,0.882324,2.4262,Kissler,0
8,51,1.03565,-0.452751,0.72555,0.606318,Kissler,0
9,51,-0.0873088,-0.591387,0.0221845,1.20641,Kissler,0
10,51,-0.117626,-0.056983,0.622194,2.15388,Kissler,0
11,51,0.062987,0.533223,0.217117,-0.710069,Kissler,0
12,51,-1.31224,-1.11084,-0.914541,-1.49932,Kissler,0
13,51,-0.085883,-1.75103,0.637955,-0.131293,Kissler,0
14,51,-0.554546,0.224726,0.0842717,-0.581982,Kissler,0
15,51,-0.481805,-0.798829,0.0842717,-0.581982,Kissler,0
16,51,0.270587,-2.017,-0.62336,-0.509251,Kissler,0
17,51,1.20698,1.39299,0.650813,-1.63826,Kissler,0
18,51,-0.993381,-0.0235519,-0.148908,0.0523211,Kissler,0
19,51,-0.368402,-0.621511,-0.14864,-0.58913,Kissler,0
20,51,-0.704559,-0.621511,-0.991479,-1.64531,Kissler,0
21,51,-0.274087,-0.340333,-0.348983,0.311905,Kissler,0
1,52,-0.434867,-0.889159,0.242469,-0.973495,Wolfel,0
2,52,-0.739872,1.48857,1.02041,-0.41681,Wolfel,0
3,52,-0.0275579,-0.342091,0.397958,-1.01789,Wolfel,0
4,52,-0.884772,0.240143,0.382436,2.20451,Wolfel,0
5,52,-1.82656,-0.451124,0.280675,0.731514,Wolfel,0
6,52,0.367452,-1.61619,0.547779,0.0637621,Wolfel,0
7,52,0.545263,-1.92945,0.200138,0.719302,Wolfel,0
8,52,0.519007,-1.23906,0.573297,-1.5843,Wolfel,0
9,52,-1.93273,1.25702,0.200732,0.731554,Wolfel,0
10,52,0.103613,-1.20245,0.112227,-2.38612,Wolfel,0
11,52,-0.373172,1.0536,0.487481,-0.257455,Wolfel,0
12,52,1.21275,-2.20991,0.0233612,-2.27682,Wolfel,0
13,52,-0.966603,0.277598,0.353633,0.398283,Wolfel,0
14,52,0.25391,-1.06091,0.33506,0.556434,Wolfel,0
15,52,-1.18348,0.711687,0.749083,-0.41243,Wolfel,0
16,52,-0.625742,0.737923,0.515894,-0.422211,Wolfel,0
17,52,-0.214938,0.158737,0.674346,-0.0646844,Wolfel,0
18,52,-1.76883,0.692658,0.391104,1.66809,Wolfel,0
19,52,-1.33249,1.69524,0.445641,-0.214828,Wolfel,0
20,52,-1.24726,-0.875827,0.30413,0.600792,Wolfel,0
21,52,-0.553988,-1.45045,-0.0836239,-1.88107,Wolfel,0
1,53,-0.165319,0.719984,1.35649,-0.365774,Wolfel,0
2,53,1.27889,0.533289,1.14762,0.348782,Wolfel,0
3,53,0.019401,-0.114176,0.955716,2.25856,Wolfel,0
4,53,1.72301,-0.702051,1.74032,-0.883026,Wolfel,0
5,53,0.60508,0.14625,1.12608,-1.03495,Wolfel,0
6,53,0.342846,1.43484,1.24958,-1.42223,Wolfel,0
7,53,1.67408,0.851827,1.48947,-1.48853,Wolfel,0
8,53,1.04804,-0.59283,1.53158,-0.0503082,Wolfel,0
9,53,0.488534,1.77342,1.38728,1.75855,Wolfel,0
10,53,1.13528,-0.218195,1.6716,0.840515,Wolfel,0
11,53,1.13528,0.0214595,1.83615,-0.0132205,Wolfel,0
12,53,1.02017,-1.04312,1.6894,1.30502,Wolfel,0
13,53,1.80311,-0.272394,2.31167,1.05725,Wolfel,0
14,53,-1.5749,0.0648806,0.111669,0.140233,Wolfel,0
15,53,-0.878528,1.46993,0.540363,-0.592296,Wolfel,0
16,53,0.5997,0.695693,1.2639,1.92859,Wolfel,0
17,53,0.655906,2.31242,1.30513,0.352377,Wolfel,0
18,53,0.0570638,-0.19002,1.28147,0.821759,Wolfel,0
19,53,0.755025,0.707541,1.52517,-0.477331,Wolfel,0
20,53,-0.045447,-0.0746915,0.769052,0.99704,Wolfel,0
21,53,0.840707,-0.0497309,1.42729,-0.567591,Wolfel,0
1,54,-0.027838,0.214958,1.41759,-0.38775,Wolfel,0
2,54,0.75568,0.311596,1.26448,-0.182566,Wolfel,0
3,54,1.18532,-0.524391,0.865502,-0.701565,Wolfel,0
4,54,0.207728,0.254223,0.862179,0.534266,Wolfel,0
5,54,1.015,-0.841024,1.60806,-1.11751,Wolfel,0
6,54,-0.0598914,1.10528,1.12855,-0.524373,Wolfel,0
7,54,0.453466,-0.138273,1.31295,0.606007,Wolfel,0
8,54,0.480763,-1.09417,0.576398,-0.467495,Wolfel,0
9,54,0.063425,0.481922,0.900558,0.842662,Wolfel,0
10,54,0.864922,-0.223978,1.28231,-0.795004,Wolfel,0
11,54,0.155567,-0.644453,0.63693,-1.59632,Wolfel,0
12,54,-0.883273,-0.599935,0.510916,0.809862,Wolfel,0
13,54,0.152791,-1.10052,0.428279,-1.18375,Wolfel,0
14,54,0.368913,1.24832,1.09974,0.596874,Wolfel,0
15,54,0.347015,0.759427,1.19109,0.522475,Wolfel,0
16,54,-0.823593,-0.39395,0.295227,-0.710499,Wolfel,0
17,54,0.144152,-0.796899,0.495936,-1.75975,Wolfel,0
18,54,0.352367,-1.03266,0.745189,0.0723006,Wolfel,0
19,54,0.352367,-0.704756,0.963081,-0.179665,Wolfel,0
20,54,0.262982,-0.230361,0.451896,-0.512612,Wolfel,0
21,54,-0.284129,0.219365,0.510538,0.748052,Wolfel,0
1,55,0.712551,-1.58712,1.28842,-0.650392,Wolfel,0
2,55,-0.0304044,0.496009,1.19109,0.104671,Wolfel,0
3,55,0.310751,0.743907,1.74727,0.104671,Wolfel,0
4,55,1.62786,-0.867479,1.61911,-1.95678,Wolfel,0
5,55,-0.0243685,0.531613,1.66278,1.33293,Wolfel,0
6,55,-0.911479,0.422971,1.30269,-0.263866,Wolfel,0
7,55,-1.91992,0.30657,0.858634,-0.406542,Wolfel,0
8,55,-1.327,-0.13476,0.815067,0.213034,Wolfel,0
9,55,-0.276313,-0.658354,1.12101,-0.229558,Wolfel,0
10,55,0.802841,-1.88568,0.509912,0.0639459,Wolfel,0
11,55,0.823461,0.99261,2.06778,0.84491,Wolfel,0
12,55,-0.14957,0.99261,1.599,0.917049,Wolfel,0
13,55,1.15154,-1.66271,0.759955,0.0141959,Wolfel,0
14,55,-0.0647088,0.0839636,1.46184,-0.773748,Wolfel,0
15,55,-0.725854,1.37623,1.02073,0.240154,Wolfel,0
16,55,-0.0494118,0.891647,0.950935,-1.0081,Wolfel,0
17,55,0.144997,0.694532,2.28222,-0.843616,Wolfel,0
18,55,0.15584,1.42657,1.18865,0.758674,Wolfel,0
19,55,0.0984274,-0.892945,1.60949,0.593758,Wolfel,0
20,55,-1.92005,0.174852,0.56645,1.34563,Wolfel,0
21,55,-1.06917,0.170488,0.517528,0.689295,Wolfel,0
1,56,-0.239849,-0.296303,0.24988,1.97177,Wolfel,0
2,56,-0.416779,0.0420298,0.90225,0.519687,Wolfel,0
3,56,0.0492101,-0.0182755,0.407401,0.586924,Wolfel,0
4,56,-0.955868,-0.721694,0.340512,0.675018,Wolfel,0
5,56,0.528243,-0.397723,0.88129,0.736585,Wolfel,0
6,56,-0.589005,2.11841,0.610374,-0.650188,Wolfel,0
7,56,-0.416806,-0.245693,0.579417,1.54516,Wolfel,0
8,56,0.563755,0.625599,0.946694,0.428269,Wolfel,0
9,56,0.804072,0.367717,0.858707,0.256871,Wolfel,0
10,56,0.971355,0.00765444,1.43523,0.422014,Wolfel,0
11,56,-0.802151,-0.119898,0.195142,-0.708342,Wolfel,0
12,56,0.606923,-0.788635,0.802946,-0.206724,Wolfel,0
13,56,1.10305,-0.248221,1.18016,0.978835,Wolfel,0
14,56,1.02601,0.261346,1.35577,-0.488815,Wolfel,0
15,56,0.677184,0.457336,1.09594,0.07652,Wolfel,0
16,56,0.283358,0.338766,0.806949,0.230381,Wolfel,0
17,56,1.89798,-1.23891,0.760143,-0.674241,Wolfel,0
18,56,0.154342,0.395521,0.883244,-0.0875055,Wolfel,0
19,56,2.15968,0.395521,1.38451,0.70895,Wolfel,0
20,56,1.94867,-0.66226,1.24663,0.127139,Wolfel,0
21,56,1.21699,-0.459152,0.748901,-0.234017,Wolfel,0
1,57,-0.472141,0.86256,0.379642,-0.810107,Wolfel,0
2,57,0.768871,0.0372711,1.01285,-0.741393,Wolfel,0
3,57,0.554876,0.813308,1.02554,-1.39331,Wolfel,0
4,57,-0.763786,0.513386,0.76146,1.72406,Wolfel,0
5,57,-0.80918,-0.459352,0.195286,1.83976,Wolfel,0
6,57,0.815421,0.496642,0.621566,-0.351892,Wolfel,0
7,57,0.970784,1.40824,0.682634,0.703788,Wolfel,0
8,57,-1.24869,0.838408,0.557895,-0.205262,Wolfel,0
9,57,0.302967,-1.63888,-0.087014,0.0833715,Wolfel,0
10,57,-1.02845,-0.813018,-0.087014,-0.0471065,Wolfel,0
11,57,1.71701,-0.873202,0.864863,-0.807376,Wolfel,0
12,57,-0.259059,-0.806808,0.377248,1.36457,Wolfel,0
13,57,-0.503802,-0.892577,0.0403086,-1.33406,Wolfel,0
14,57,-0.00938995,-0.946924,0.217012,0.867687,Wolfel,0
15,57,-0.9513,0.860677,0.374492,0.51007,Wolfel,0
16,57,0.751787,-1.13654,0.357381,-1.79739,Wolfel,0
