id,eta_tin_SAEM,eta_iniT_SAEM,eta_iniI_SAEM,eta_beta_SAEM,eta_rhoX_SAEM,eta_k_SAEM,eta_delta_SAEM,eta_p_SAEM,eta_c_SAEM,eta_sigmaX_SAEM,eta_phiX_SAEM,eta_dX_SAEM,eta_tin_mean,eta_iniT_mean,eta_iniI_mean,eta_beta_mean,eta_rhoX_mean,eta_k_mean,eta_delta_mean,eta_p_mean,eta_c_mean,eta_sigmaX_mean,eta_phiX_mean,eta_dX_mean,eta_tin_mode,eta_iniT_mode,eta_iniI_mode,eta_beta_mode,eta_rhoX_mode,eta_k_mode,eta_delta_mode,eta_p_mode,eta_c_mode,eta_sigmaX_mode,eta_phiX_mode,eta_dX_mode,eta_tin_sd,eta_iniT_sd,eta_iniI_sd,eta_beta_sd,eta_rhoX_sd,eta_k_sd,eta_delta_sd,eta_p_sd,eta_c_sd,eta_sigmaX_sd,eta_phiX_sd,eta_dX_sd,source
17,-0.0669326,0,0,0.187699,0,0,0.579225,0.0355682,0,0,0,0,-0.0666619,0,0,0.16542,0,0,0.537241,-0.0137668,0,0,0,0,-0.047948,0,0,0.139865,0,0,0.528306,0.0207311,0,0,0,0,0.0476207,0,0,0.327828,0,0,0.387997,0.11742,0,0,0,0,Neant
18,-0.0507964,0,0,-0.110491,0,0,0.852704,0.0111192,0,0,0,0,-0.0391885,0,0,-0.0935601,0,0,0.876027,-0.035675,0,0,0,0,-0.0405889,0,0,-0.194956,0,0,0.827357,-0.0326928,0,0,0,0,0.0624175,0,0,0.421746,0,0,0.448198,0.139415,0,0,0,0,Neant
19,-0.00888367,0,0,-0.0284978,0,0,-0.587809,0.00242955,0,0,0,0,0.0162952,0,0,-0.0301203,0,0,-0.48755,0.0142629,0,0,0,0,-0.00214234,0,0,-0.00906646,0,0,-0.467124,-0.00188754,0,0,0,0,0.0646169,0,0,0.358565,0,0,0.281383,0.14345,0,0,0,0,Neant
20,-0.00198179,0,0,0.105405,0,0,-0.835088,0.0245502,0,0,0,0,0.0180886,0,0,0.0808274,0,0,-0.804229,0.0284096,0,0,0,0,0.00943127,0,0,0.0425118,0,0,-0.748128,0.0092467,0,0,0,0,0.0697297,0,0,0.398712,0,0,0.268916,0.142101,0,0,0,0,Neant
21,0.0189406,0,0,0.0758382,0,0,-0.299617,0.0137967,0,0,0,0,0.0245497,0,0,0.078633,0,0,-0.281509,0.0170063,0,0,0,0,0.0139947,0,0,0.0410351,0,0,-0.27156,0.00927913,0,0,0,0,0.0641816,0,0,0.37416,0,0,0.311163,0.147215,0,0,0,0,Neant
22,0.0208641,0,0,0.123382,0,0,0.294655,0.0312256,0,0,0,0,0.0220531,0,0,0.0747587,0,0,0.185702,0.0438685,0,0,0,0,0.0210981,0,0,0.0397728,0,0,0.259006,0.00941323,0,0,0,0,0.0656274,0,0,0.286076,0,0,0.37215,0.138399,0,0,0,0,Neant
23,-0.0290009,0,0,-0.0427676,0,0,0.21642,0.00425878,0,0,0,0,-0.0225556,0,0,-0.117879,0,0,0.234574,0.00302623,0,0,0,0,-0.0272732,0,0,-0.125951,0,0,0.286934,-0.0228,0,0,0,0,0.0617316,0,0,0.349238,0,0,0.332185,0.144933,0,0,0,0,Neant
24,0.00646802,0,0,0.0545016,0,0,-0.739925,-0.0141262,0,0,0,0,0.0180129,0,0,0.024392,0,0,-0.753326,0.00269284,0,0,0,0,0.00200873,0,0,0.0103816,0,0,-0.716162,0.00214684,0,0,0,0,0.0662644,0,0,0.380462,0,0,0.334542,0.133529,0,0,0,0,Neant
25,0.0466421,0,0,0.202356,0,0,-0.700193,0.0302643,0,0,0,0,0.0566962,0,0,0.189728,0,0,-0.6617,0.0353635,0,0,0,0,0.0505178,0,0,0.152622,0,0,-0.677332,0.0382324,0,0,0,0,0.054382,0,0,0.30807,0,0,0.229865,0.151211,0,0,0,0,Neant
26,0.000928003,0,0,0.00316352,0,0,0.0967433,-0.0175709,0,0,0,0,0.00555625,0,0,-0.0444515,0,0,0.169791,0.0282292,0,0,0,0,-0.00420619,0,0,-0.0114642,0,0,0.166511,-0.00240041,0,0,0,0,0.0670894,0,0,0.337624,0,0,0.341987,0.13906,0,0,0,0,Neant
27,0.038294,0,0,0.179726,0,0,-1.5996,0.0452589,0,0,0,0,0.00437501,0,0,0.0724695,0,0,-1.66796,0.00900505,0,0,0,0,0.0226019,0,0,0.146085,0,0,-1.4975,0.0336322,0,0,0,0,0.0741939,0,0,0.355173,0,0,0.386806,0.151727,0,0,0,0,Neant
28,-0.0307756,0,0,-0.117644,0,0,-0.163475,-0.0226917,0,0,0,0,-0.0196335,0,0,-0.0462489,0,0,-0.0999077,-0.00943417,0,0,0,0,-0.0240967,0,0,-0.129335,0,0,-0.0824932,-0.0234932,0,0,0,0,0.0707242,0,0,0.370083,0,0,0.299093,0.150604,0,0,0,0,Neant
29,0.0235822,0,0,0.0852927,0,0,-0.781638,-0.0116493,0,0,0,0,-0.000459066,0,0,0.0406658,0,0,-0.803905,0.0243576,0,0,0,0,0.00849447,0,0,0.0370864,0,0,-0.705541,0.0080215,0,0,0,0,0.0658368,0,0,0.288418,0,0,0.24625,0.136936,0,0,0,0,Neant
30,0.00366944,0,0,0.053802,0,0,-1.2099,0.0432629,0,0,0,0,-0.0103555,0,0,0.0489055,0,0,-1.28389,-0.0328541,0,0,0,0,0.00275501,0,0,0.0191142,0,0,-1.18302,0.00401943,0,0,0,0,0.0740336,0,0,0.307054,0,0,0.285412,0.152922,0,0,0,0,Neant
31,0.00778742,0,0,-0.0055636,0,0,-0.10184,0.0121464,0,0,0,0,0.00345516,0,0,-0.0658788,0,0,-0.208975,0.00206735,0,0,0,0,0.00404285,0,0,0.0116479,0,0,-0.101807,0.00254497,0,0,0,0,0.065057,0,0,0.408575,0,0,0.31445,0.146984,0,0,0,0,Neant
32,0.0125899,0,0,0.0821082,0,0,0.152626,0.0138449,0,0,0,0,0.0268526,0,0,0.0300352,0,0,0.154475,0.00569029,0,0,0,0,0.00937145,0,0,0.0214791,0,0,0.10847,0.0048718,0,0,0,0,0.0671034,0,0,0.408124,0,0,0.377611,0.132805,0,0,0,0,Neant
33,0.0270039,0,0,0.112801,0,0,-0.467304,0.00805792,0,0,0,0,0.00792694,0,0,0.0984298,0,0,-0.516141,0.0243927,0,0,0,0,0.016733,0,0,0.0568424,0,0,-0.490349,0.012857,0,0,0,0,0.06543,0,0,0.354191,0,0,0.379042,0.161505,0,0,0,0,Neant
34,0.0425856,0,0,0.123488,0,0,0.343275,0.00504019,0,0,0,0,0.0213111,0,0,0.0648811,0,0,0.273668,0.013291,0,0,0,0,0.0217305,0,0,0.0381173,0,0,0.298047,0.00900274,0,0,0,0,0.0614915,0,0,0.344035,0,0,0.336963,0.1532,0,0,0,0,Neant
35,0.000380484,0,0,-0.0191587,0,0,0.160277,-0.022539,0,0,0,0,0.00655799,0,0,0.0275694,0,0,0.240549,0.00185713,0,0,0,0,-0.00428353,0,0,-0.0110268,0,0,0.238432,-0.00232913,0,0,0,0,0.06161,0,0,0.332797,0,0,0.325479,0.139456,0,0,0,0,Neant
36,0.0124092,0,0,0.101624,0,0,-0.788375,0.0156923,0,0,0,0,0.0342513,0,0,0.122338,0,0,-0.775905,0.0505098,0,0,0,0,0.0342218,0,0,0.0616455,0,0,-0.687758,0.0141631,0,0,0,0,0.0833335,0,0,0.360217,0,0,0.388299,0.147129,0,0,0,0,Neant
37,-0.0026192,0,0,0.00483857,0,0,0.111635,0.00517183,0,0,0,0,-0.00236582,0,0,-0.029451,0,0,0.21163,0.038718,0,0,0,0,-0.000435684,0,0,-0.00121472,0,0,0.0274992,-0.000260724,0,0,0,0,0.0720795,0,0,0.368601,0,0,0.541855,0.143108,0,0,0,0,Neant
38,0.00829386,0,0,-0.0337579,0,0,0.301783,0.0231007,0,0,0,0,0.00137292,0,0,0.0827366,0,0,0.302028,0.00675093,0,0,0,0,0.00740444,0,0,0.0151676,0,0,0.333212,0.0034208,0,0,0,0,0.0754621,0,0,0.418376,0,0,0.406908,0.133201,0,0,0,0,Neant
39,0.0325007,0,0,0.109138,0,0,-0.702386,0.0330794,0,0,0,0,0.050804,0,0,0.149861,0,0,-0.656155,-0.000677977,0,0,0,0,0.0297201,0,0,0.102399,0,0,-0.653579,0.0241669,0,0,0,0,0.0730938,0,0,0.319245,0,0,0.248598,0.139114,0,0,0,0,Neant
40,-0.0674587,0,0,-0.11813,0,0,0.773141,-0.060036,0,0,0,0,-0.0516947,0,0,-0.205838,0,0,0.866678,-0.016139,0,0,0,0,-0.048744,0,0,-0.250103,0,0,0.86688,-0.0413111,0,0,0,0,0.062503,0,0,0.378674,0,0,0.462585,0.143014,0,0,0,0,Neant
41,-0.011292,0,0,-0.109913,0,0,-0.135117,0.00569164,0,0,0,0,0.00101316,0,0,-0.0622942,0,0,-0.0587402,-0.0253294,0,0,0,0,-0.0111311,0,0,-0.0395928,0,0,-0.00951877,-0.00790737,0,0,0,0,0.0695184,0,0,0.426007,0,0,0.396426,0.145504,0,0,0,0,Neant
42,0.0567435,0,0,0.173798,0,0,-0.838283,0.058154,0,0,0,0,0.0642232,0,0,0.249755,0,0,-0.785951,0.0313857,0,0,0,0,0.0566005,0,0,0.176386,0,0,-0.77297,0.0446464,0,0,0,0,0.0596474,0,0,0.337258,0,0,0.278443,0.136518,0,0,0,0,Neant
43,0.0124131,0,0,-0.255333,0,0,-0.0329551,-0.0193211,0,0,0,0,0.000420704,0,0,-0.265357,0,0,-0.00401343,0.0033298,0,0,0,0,0.00505284,0,0,-0.244006,0,0,0.0235132,-0.0370133,0,0,0,0,0.0399963,0,0,0.290606,0,0,0.275695,0.110084,0,0,0,0,Kissler
