rep,id,tin,iniT,iniI,beta,rhoX,k,delta,p,c,sigmaX,phiX,dX,source
17,6,-0.584521465072175,2666667,0.0333333,2.16377105711319e-8,2,4,1.1127109255412,7349.85278372451,10,1,2,0.2,Neant
18,6,-0.0673189131081909,2666667,0.0333333,1.47697988399161e-8,2,4,1.66468777485155,7862.87273614996,10,1,2,0.2,Neant
19,6,-3.66088964399596,2666667,0.0333333,4.70616095829048e-8,2,4,1.04968590207978,6684.65034126978,10,1,2,0.2,Neant
20,6,-1.96381140854377,2666667,0.0333333,2.24161507957904e-8,2,4,1.51439741875491,7837.42803544801,10,1,2,0.2,Neant
21,6,-1.43664390405395,2666667,0.0333333,2.63969917224655e-8,2,4,1.19905177281833,7255.16446944066,10,1,2,0.2,Neant
1,7,-1.70811958694838,2666667,0.0333333,3.19361933077529e-8,2,4,0.867076384670845,7247.96118891561,10,1,2,0.2,Neant
2,7,-1.46833590808286,2666667,0.0333333,2.43568452513993e-8,2,4,0.723526153438042,8551.77446190182,10,1,2,0.2,Neant
3,7,-2.10700370207292,2666667,0.0333333,3.26280779432291e-8,2,4,0.947986053743886,8284.59257245153,10,1,2,0.2,Neant
4,7,-1.34289317264754,2666667,0.0333333,2.10141833070018e-8,2,4,0.835729502395486,7393.92186041351,10,1,2,0.2,Neant
5,7,0.383998548448118,2666667,0.0333333,2.82462145350005e-8,2,4,0.982358647169131,6583.28870233454,10,1,2,0.2,Neant
6,7,-1.50802439535417,2666667,0.0333333,1.34827903952324e-8,2,4,0.483151246745708,5733.51359492328,10,1,2,0.2,Neant
7,7,-0.696607812856795,2666667,0.0333333,1.59242032892832e-8,2,4,0.728790449130209,7320.34691846919,10,1,2,0.2,Neant
8,7,-3.1807195658159,2666667,0.0333333,2.79238095411998e-8,2,4,0.820817075425907,6040.74791025054,10,1,2,0.2,Neant
9,7,-3.13540179535959,2666667,0.0333333,1.92558407620125e-8,2,4,0.725557212283712,7302.99885408904,10,1,2,0.2,Neant
10,7,2.05414463965638,2666667,0.0333333,2.47397656967485e-8,2,4,1.16561038023847,9390.92164126706,10,1,2,0.2,Neant
11,7,-1.29072550686414,2666667,0.0333333,1.35819040547267e-8,2,4,0.765090846937438,9278.49089092936,10,1,2,0.2,Neant
12,7,0.628352400082308,2666667,0.0333333,1.30173819527377e-8,2,4,0.702031150872165,5342.06341541684,10,1,2,0.2,Neant
13,7,0.628352400082308,2666667,0.0333333,3.34175454698597e-8,2,4,0.67520068923738,9358.726616585,10,1,2,0.2,Neant
14,7,0.706485912302506,2666667,0.0333333,3.32109917520914e-8,2,4,0.82842485175234,6771.85468165683,10,1,2,0.2,Neant
15,7,-1.39237769730524,2666667,0.0333333,1.87695916775851e-8,2,4,0.564237561278713,6383.40786344628,10,1,2,0.2,Neant
16,7,-2.12825957329783,2666667,0.0333333,2.06284028919232e-8,2,4,0.79024611827918,7295.6802503996,10,1,2,0.2,Neant
17,7,-0.537884975769378,2666667,0.0333333,2.54307536085156e-8,2,4,0.877176159096982,8471.2039115339,10,1,2,0.2,Neant
18,7,-0.0440106718016518,2666667,0.0333333,3.30695463027232e-8,2,4,0.735672764813164,6670.1873155915,10,1,2,0.2,Neant
19,7,0.417188627910772,2666667,0.0333333,2.35100037615613e-8,2,4,0.80473571148722,6481.39885286049,10,1,2,0.2,Neant
20,7,-2.39410092336693,2666667,0.0333333,3.55903208221017e-8,2,4,0.924160762600649,6496.80122647606,10,1,2,0.2,Neant
21,7,2.00442346457233,2666667,0.0333333,4.15091070177091e-8,2,4,1.16272897941354,6086.57688135941,10,1,2,0.2,Neant
1,8,0.392283389856496,2666667,0.0333333,2.48487507393295e-8,2,4,0.722137644263583,7984.67687282031,10,1,2,0.2,Neant
2,8,-1.62291637315802,2666667,0.0333333,2.2492696781018e-8,2,4,0.493139283943582,7969.45117136521,10,1,2,0.2,Neant
3,8,-0.119966883519601,2666667,0.0333333,2.16903904848746e-8,2,4,0.4266885487671,7493.93101291148,10,1,2,0.2,Neant
4,8,-1.3917427538398,2666667,0.0333333,1.24403493558617e-8,2,4,0.356418559612589,7360.7520847074,10,1,2,0.2,Neant
5,8,-0.720574362451301,2666667,0.0333333,1.87955002759661e-8,2,4,0.381182317577803,8564.35695802532,10,1,2,0.2,Neant
6,8,-1.48182066815883,2666667,0.0333333,2.86729520906996e-8,2,4,0.399212644530263,10722.3504046445,10,1,2,0.2,Neant
7,8,0.407612849551681,2666667,0.0333333,1.80799796015996e-8,2,4,0.514582624811496,6990.85205116422,10,1,2,0.2,Neant
8,8,-0.469759315445182,2666667,0.0333333,3.43554118237737e-8,2,4,0.435109858076537,8364.70269317161,10,1,2,0.2,Neant
9,8,-0.212275733587699,2666667,0.0333333,4.77735739759991e-8,2,4,0.519005371216234,7420.67405168497,10,1,2,0.2,Neant
10,8,-1.41128690760838,2666667,0.0333333,1.91673922173143e-8,2,4,0.284092890678522,6496.78928004975,10,1,2,0.2,Neant
11,8,-0.599953515165615,2666667,0.0333333,3.88565475103564e-8,2,4,0.316237966977308,8187.15740181222,10,1,2,0.2,Neant
12,8,-0.560218508083912,2666667,0.0333333,1.90661676986299e-8,2,4,0.368428967377714,8027.63692057884,10,1,2,0.2,Neant
13,8,-0.744237721614969,2666667,0.0333333,1.83626486845284e-8,2,4,0.407336871494638,6126.19086167116,10,1,2,0.2,Neant
14,8,-0.858662954870456,2666667,0.0333333,1.21394264949416e-8,2,4,0.359025244172117,7571.34115621322,10,1,2,0.2,Neant
15,8,-1.77674328999956,2666667,0.0333333,3.20823507623178e-8,2,4,0.479627416265119,6338.52173512946,10,1,2,0.2,Neant
16,8,-3.29420297875856,2666667,0.0333333,3.36233387368938e-8,2,4,0.401529484063005,8667.27878736263,10,1,2,0.2,Neant
17,8,0.0412338008909035,2666667,0.0333333,2.47011621587002e-8,2,4,0.455278812257122,7957.5760451894,10,1,2,0.2,Neant
18,8,-1.96983276342016,2666667,0.0333333,1.71198778174187e-8,2,4,0.429086683089403,7440.71967619973,10,1,2,0.2,Neant
19,8,-1.94682814085569,2666667,0.0333333,3.31118077794336e-8,2,4,0.365461537670691,6728.54953396208,10,1,2,0.2,Neant
20,8,-0.952548454908762,2666667,0.0333333,3.32021697434042e-8,2,4,0.329542735680935,7359.79032909925,10,1,2,0.2,Neant
21,8,-0.526534189936095,2666667,0.0333333,2.47688988934635e-8,2,4,0.464755209858674,7202.42332489445,10,1,2,0.2,Neant
1,9,0.314475823275406,2666667,0.0333333,2.41653924435591e-8,2,4,0.94605929756898,6162.61043661999,10,1,2,0.2,Neant
2,9,0.112513275360784,2666667,0.0333333,5.06485292660526e-8,2,4,1.64454406524402,7704.25993209875,10,1,2,0.2,Neant
3,9,-1.91526680315734,2666667,0.0333333,3.06877950398625e-8,2,4,1.0233797531756,9970.45447363891,10,1,2,0.2,Neant
4,9,-0.00683895012144373,2666667,0.0333333,1.37055930307212e-8,2,4,0.964555675318821,7056.53346660975,10,1,2,0.2,Neant
5,9,-0.165821709780588,2666667,0.0333333,2.20811435165335e-8,2,4,1.31041248403528,6646.16452413477,10,1,2,0.2,Neant
6,9,-0.6809869961237,2666667,0.0333333,2.54168398547854e-8,2,4,1.36063165347241,7777.57134504388,10,1,2,0.2,Neant
7,9,-3.86073397526757,2666667,0.0333333,1.80641502077861e-8,2,4,0.762221177424373,7320.06312740745,10,1,2,0.2,Neant
8,9,-0.880291552874946,2666667,0.0333333,8.17071694818028e-9,2,4,1.00579076287455,8311.99069996828,10,1,2,0.2,Neant
9,9,-1.71786767067577,2666667,0.0333333,1.3368973798848e-8,2,4,1.36151894180353,7746.67677794305,10,1,2,0.2,Neant
10,9,-2.1132161781008,2666667,0.0333333,2.36786245927884e-8,2,4,0.889657238254323,5579.18809923405,10,1,2,0.2,Neant
11,9,0.194173569055094,2666667,0.0333333,1.76789036250422e-8,2,4,1.3526549821037,6303.29188679708,10,1,2,0.2,Neant
12,9,0.94992520105552,2666667,0.0333333,2.29288302081901e-8,2,4,1.36785224619618,6949.82574474837,10,1,2,0.2,Neant
13,9,-2.67641217973293,2666667,0.0333333,1.78074028780062e-8,2,4,1.0291138623455,7892.57743655113,10,1,2,0.2,Neant
14,9,-4.08658468974801,2666667,0.0333333,3.69640986441373e-8,2,4,0.886452267536518,8530.80307561885,10,1,2,0.2,Neant
15,9,0.509196523801149,2666667,0.0333333,1.54233884663296e-8,2,4,1.3028432641617,7876.01479989659,10,1,2,0.2,Neant
16,9,-1.39930481520904,2666667,0.0333333,2.61744393332425e-8,2,4,0.913081803800137,5643.59275757266,10,1,2,0.2,Neant
17,9,-1.33807253848003,2666667,0.0333333,2.63950488921663e-8,2,4,0.931077400347753,6301.67335203515,10,1,2,0.2,Neant
18,9,-0.673302298793306,2666667,0.0333333,2.54470446380116e-8,2,4,1.52754533306349,6489.93045947057,10,1,2,0.2,Neant
19,9,-1.28980060439513,2666667,0.0333333,2.08145505331535e-8,2,4,1.21724995528802,7772.28694723661,10,1,2,0.2,Neant
20,9,-1.95850449953803,2666667,0.0333333,1.36568265610493e-8,2,4,0.943209689712115,8811.96866929734,10,1,2,0.2,Neant
21,9,-2.41659980032308,2666667,0.0333333,3.72509248231596e-8,2,4,1.14816065786258,7377.35382810554,10,1,2,0.2,Neant
1,10,-0.332294989678161,2666667,0.0333333,2.57501093070416e-8,2,4,0.683100611259759,7689.06313078172,10,1,2,0.2,Neant
2,10,-2.0013082374695,2666667,0.0333333,2.92905400102203e-8,2,4,0.62486536224457,6681.8888039569,10,1,2,0.2,Neant
3,10,0.851573620037219,2666667,0.0333333,3.76913459767921e-8,2,4,0.683340484441636,6340.77300535136,10,1,2,0.2,Neant
4,10,1.45611881736233,2666667,0.0333333,1.95229128808072e-8,2,4,0.731353917060055,6195.48718875059,10,1,2,0.2,Neant
5,10,0.247648525516906,2666667,0.0333333,2.9983785538268e-8,2,4,0.785073041645055,5930.71173708629,10,1,2,0.2,Neant
6,10,-0.0904936604983547,2666667,0.0333333,2.61255259866836e-8,2,4,0.681204765449218,8934.00470937196,10,1,2,0.2,Neant
7,10,-2.06836615917313,2666667,0.0333333,2.42888300197777e-8,2,4,0.650134426310864,7178.21126894225,10,1,2,0.2,Neant
8,10,3.06060815487142,2666667,0.0333333,2.00948789864573e-8,2,4,0.863570024179491,7012.06156602305,10,1,2,0.2,Neant
9,10,-1.49946911224416,2666667,0.0333333,1.79024275888179e-8,2,4,0.45491859908075,6023.28290075214,10,1,2,0.2,Neant
10,10,1.17930465099922,2666667,0.0333333,1.83974763480721e-8,2,4,0.770695560433379,7786.18206495283,10,1,2,0.2,Neant
11,10,0.0743044896882134,2666667,0.0333333,3.8698236963598e-8,2,4,0.724471575851859,7406.25517522102,10,1,2,0.2,Neant
12,10,-0.240212556563009,2666667,0.0333333,3.68660968832314e-8,2,4,0.687077292228486,8099.79954514821,10,1,2,0.2,Neant
13,10,-1.68010066427662,2666667,0.0333333,3.85761460758216e-8,2,4,0.668599738889627,8048.62797679254,10,1,2,0.2,Neant
14,10,-0.163073654200347,2666667,0.0333333,1.98778397584518e-8,2,4,0.497739235933317,7367.50196460611,10,1,2,0.2,Neant
15,10,-0.33612414552515,2666667,0.0333333,1.93361466687935e-8,2,4,0.732380527379758,6730.20486814138,10,1,2,0.2,Neant
