rep,ID,trans_tin_simulated,trans_beta_simulated,trans_delta_simulated,trans_p_simulated,eta_tin_simulated,eta_beta_simulated,eta_delta_simulated,eta_p_simulated,source,split,color,filter
6,28,0.0945692,-4.10553,-0.694861,9.05197,0.129571,-0.320763,0.171071,0.159585,Neant,All,#4682B4,0
7,28,0.0770798,-4.28273,-1.29261,8.98445,0.112082,-0.497961,-0.426675,0.0920635,Neant,All,#4682B4,0
8,28,0.0203827,-4.06772,-0.759221,8.73875,0.0553847,-0.282952,0.106711,-0.153636,Neant,All,#4682B4,0
9,28,-0.000243188,-4.51248,-1.6533,8.63762,0.0347588,-0.72771,-0.787372,-0.254767,Neant,All,#4682B4,0
10,28,-0.0115694,-3.56879,-0.930646,8.82803,0.0234326,0.215982,-0.0647142,-0.0643583,Neant,All,#4682B4,0
11,28,-0.109915,-3.61001,-1.16684,8.92332,-0.0749133,0.174758,-0.300911,0.0309342,Neant,All,#4682B4,0
12,28,0.00329453,-3.77982,-0.549423,8.8478,0.0382965,0.00494831,0.316508,-0.0445917,Neant,All,#4682B4,0
13,28,-0.112603,-4.08108,-1.08356,8.92659,-0.0776007,-0.296309,-0.217632,0.0342062,Neant,All,#4682B4,0
14,28,-0.0855569,-2.98828,-0.688596,9.10876,-0.0505549,0.796489,0.177335,0.216377,Neant,All,#4682B4,0
15,28,-0.154532,-3.57318,-1.11825,9.00456,-0.11953,0.211588,-0.252319,0.112168,Neant,All,#4682B4,0
16,28,-0.0618786,-3.78024,-0.945783,8.64403,-0.0268766,0.00453025,-0.0798509,-0.248358,Neant,All,#4682B4,0
17,28,-0.0542639,-3.60122,-0.947422,8.87448,-0.0192619,0.18355,-0.0814908,-0.0179043,Neant,All,#4682B4,0
18,28,-0.0363271,-3.90266,-0.902808,8.82653,-0.00132514,-0.117888,-0.0368758,-0.0658603,Neant,All,#4682B4,0
19,28,-0.0340777,-4.10782,-1.71138,8.81016,0.000924327,-0.323046,-0.845446,-0.0822313,Neant,All,#4682B4,0
20,28,-0.0676304,-3.7957,-1.27412,8.71271,-0.0326284,-0.010927,-0.408185,-0.17968,Neant,All,#4682B4,0
0,29,-0.0244431,-4.0163,-1.48241,8.97305,0.0105589,-0.231526,-0.616481,0.0806649,Neant,All,#4682B4,0
1,29,0.0396911,-3.76566,-2.03895,9.00181,0.0746931,0.0191112,-1.17302,0.109419,Neant,All,#4682B4,0
2,29,-0.0165181,-3.41959,-1.75362,8.85345,0.0184839,0.365181,-0.887692,-0.0389366,Neant,All,#4682B4,0
3,29,-0.00370495,-4.16639,-1.4672,9.10147,0.031297,-0.381622,-0.601267,0.209084,Neant,All,#4682B4,0
4,29,-0.107648,-4.02816,-1.57938,8.83658,-0.0726456,-0.243386,-0.713446,-0.0558112,Neant,All,#4682B4,0
5,29,0.0440806,-3.62363,-1.36634,8.97738,0.0790825,0.16114,-0.500413,0.0849875,Neant,All,#4682B4,0
6,29,-0.020773,-3.92862,-1.57811,8.88904,0.014229,-0.143848,-0.712182,-0.00334363,Neant,All,#4682B4,0
7,29,-0.131355,-3.83664,-2.04034,8.91145,-0.0963532,-0.051872,-1.17441,0.0190574,Neant,All,#4682B4,0
8,29,-0.074114,-4.06152,-1.84606,9.03333,-0.039112,-0.276748,-0.980133,0.140946,Neant,All,#4682B4,0
9,29,0.0572159,-3.88853,-1.97575,8.78734,0.0922179,-0.103757,-1.10982,-0.105051,Neant,All,#4682B4,0
10,29,-0.0298126,-3.40605,-1.52139,8.82123,0.00518939,0.378719,-0.655455,-0.0711626,Neant,All,#4682B4,0
11,29,0.0199397,-3.41674,-1.59579,8.97854,0.0549417,0.368035,-0.72986,0.0861525,Neant,All,#4682B4,0
12,29,-0.0376323,-3.60181,-1.40388,8.88687,-0.00263026,0.182962,-0.537947,-0.00551936,Neant,All,#4682B4,0
13,29,-0.236436,-3.91188,-1.66261,9.09244,-0.201434,-0.127107,-0.796683,0.20005,Neant,All,#4682B4,0
14,29,0.00209676,-3.61264,-2.00658,8.85609,0.0370988,0.172135,-1.14065,-0.0362932,Neant,All,#4682B4,0
15,29,-0.0768853,-4.00989,-1.89926,9.17918,-0.0418833,-0.225121,-1.03333,0.286795,Neant,All,#4682B4,0
16,29,0.00859706,-3.89696,-1.48561,8.94542,0.0435991,-0.112192,-0.619675,0.0530329,Neant,All,#4682B4,0
17,29,0.0313508,-3.81532,-1.55011,8.82408,0.0663528,-0.0305529,-0.684183,-0.068311,Neant,All,#4682B4,0
18,29,-0.0501545,-3.80924,-1.38818,9.01282,-0.0151525,-0.0244694,-0.522247,0.120437,Neant,All,#4682B4,0
19,29,-0.0244167,-3.78709,-1.69977,9.01129,0.0105853,-0.00231837,-0.833836,0.118903,Neant,All,#4682B4,0
20,29,-0.0106579,-3.39466,-1.90621,8.82046,0.0243441,0.390117,-1.04028,-0.0719301,Neant,All,#4682B4,0
0,30,-0.118608,-4.19136,-2.35799,9.00377,-0.0836056,-0.406587,-1.49205,0.111385,Neant,All,#4682B4,0
1,30,-0.0605699,-3.5697,-1.83884,9.12769,-0.0255679,0.215071,-0.972904,0.235301,Neant,All,#4682B4,0
2,30,-0.0544756,-3.46015,-1.76208,9.09454,-0.0194736,0.324619,-0.896152,0.20215,Neant,All,#4682B4,0
3,30,0.0441009,-3.05995,-2.21,8.62363,0.0791029,0.724824,-1.34407,-0.268757,Neant,All,#4682B4,0
4,30,0.0654682,-3.9825,-1.90868,8.92222,0.10047,-0.197731,-1.04275,0.0298313,Neant,All,#4682B4,0
5,30,-0.0372143,-3.86567,-2.15666,8.73228,-0.00221225,-0.0808991,-1.29073,-0.160111,Neant,All,#4682B4,0
6,30,-0.143494,-3.7948,-2.156,8.98571,-0.108492,-0.0100229,-1.29007,0.0933254,Neant,All,#4682B4,0
7,30,-0.0601147,-3.77383,-1.81338,8.95474,-0.0251127,0.0109443,-0.947449,0.062351,Neant,All,#4682B4,0
8,30,-0.106211,-3.51134,-2.43374,8.84926,-0.0712086,0.273436,-1.56781,-0.0431279,Neant,All,#4682B4,0
9,30,-0.0675198,-3.51134,-2.2446,8.89579,-0.0325178,0.273436,-1.37867,0.00340207,Neant,All,#4682B4,0
10,30,-0.08471,-3.59363,-2.33509,8.91972,-0.049708,0.191139,-1.46916,0.0273308,Neant,All,#4682B4,0
11,30,-0.0384144,-3.95888,-2.13938,8.74356,-0.00341242,-0.174107,-1.27345,-0.148826,Neant,All,#4682B4,0
12,30,-0.0753317,-4.60391,-2.97401,8.67602,-0.0403297,-0.819141,-2.10808,-0.216372,Neant,All,#4682B4,0
13,30,-0.123567,-3.8545,-2.21278,9.08878,-0.0885647,-0.0697233,-1.34685,0.196393,Neant,All,#4682B4,0
14,30,0.0561909,-3.80706,-1.75966,8.93018,0.0911929,-0.0222839,-0.893733,0.0377874,Neant,All,#4682B4,0
15,30,-0.0342567,-3.99725,-2.10856,9.04494,0.000745287,-0.212476,-1.24263,0.152554,Neant,All,#4682B4,0
16,30,0.0349951,-3.4389,-2.16078,8.81818,0.0699971,0.345875,-1.29485,-0.0742119,Neant,All,#4682B4,0
17,30,-0.134577,-3.51456,-2.59018,9.04569,-0.0995749,0.270208,-1.72425,0.153304,Neant,All,#4682B4,0
18,30,-0.0210057,-4.16667,-2.57685,8.92314,0.0139963,-0.381897,-1.71092,0.0307542,Neant,All,#4682B4,0
19,30,0.0849316,-3.73807,-1.671,8.79883,0.119934,0.0466984,-0.805065,-0.0935567,Neant,All,#4682B4,0
20,30,-0.113211,-3.76495,-2.06932,8.73478,-0.0782085,0.0198211,-1.20339,-0.15761,Neant,All,#4682B4,0
0,31,-0.0746791,-3.89739,-1.08801,8.82929,-0.0396771,-0.11262,-0.222074,-0.0630977,Neant,All,#4682B4,0
1,31,-0.0287246,-3.68434,-0.855711,8.81878,0.00627737,0.100432,0.0102207,-0.0736058,Neant,All,#4682B4,0
2,31,0.00583001,-3.64335,-0.633602,9.04448,0.040832,0.141423,0.232329,0.152092,Neant,All,#4682B4,0
3,31,0.0269872,-3.37446,-0.960117,8.91403,0.0619892,0.410311,-0.0941849,0.0216374,Neant,All,#4682B4,0
4,31,0.0350838,-3.82524,-1.1219,8.58003,0.0700858,-0.040467,-0.255972,-0.312353,Neant,All,#4682B4,0
5,31,-0.063737,-4.21509,-1.50947,8.85499,-0.028735,-0.430314,-0.643538,-0.0373942,Neant,All,#4682B4,0
6,31,-0.0307554,-4.05187,-0.849839,8.95437,0.00424659,-0.267099,0.0160926,0.0619785,Neant,All,#4682B4,0
7,31,-0.04457,-4.19588,-1.25898,8.95245,-0.00956796,-0.411106,-0.393047,0.0600627,Neant,All,#4682B4,0
8,31,-0.0267242,-4.42874,-1.15609,8.87292,0.00827781,-0.643966,-0.290163,-0.0194662,Neant,All,#4682B4,0
9,31,-0.00925243,-4.37253,-1.12899,8.68,0.0257496,-0.587754,-0.263055,-0.212383,Neant,All,#4682B4,0
10,31,0.0248131,-3.89557,-0.890306,8.79776,0.0598151,-0.110801,-0.0243744,-0.0946261,Neant,All,#4682B4,0
11,31,-0.167965,-3.89264,-1.37239,8.99866,-0.132963,-0.107867,-0.506461,0.106268,Neant,All,#4682B4,0
12,31,-0.0939401,-4.02927,-1.02731,8.83705,-0.0589381,-0.2445,-0.161374,-0.0553345,Neant,All,#4682B4,0
13,31,0.000465897,-3.94521,-0.876129,8.94064,0.0354679,-0.160441,-0.010197,0.0482511,Neant,All,#4682B4,0
14,31,-0.0665828,-3.58225,-1.39591,8.7747,-0.0315808,0.202522,-0.529982,-0.117688,Neant,All,#4682B4,0
15,31,-0.0499337,-3.99387,-0.579607,9.0047,-0.0149317,-0.209097,0.286324,0.112316,Neant,All,#4682B4,0
16,31,-0.032915,-3.31976,-0.80365,8.78113,0.00208702,0.465015,0.0622818,-0.11126,Neant,All,#4682B4,0
17,31,-0.0159886,-2.89172,-1.22531,8.82918,0.0190134,0.893057,-0.359375,-0.0632094,Neant,All,#4682B4,0
18,31,-0.0513999,-4.26598,-0.703737,8.66579,-0.0163979,-0.481207,0.162195,-0.2266,Neant,All,#4682B4,0
19,31,0.0213735,-4.10296,-1.52459,8.9874,0.0563755,-0.318187,-0.658656,0.0950147,Neant,All,#4682B4,0
20,31,-0.133035,-4.44029,-1.40663,8.89717,-0.0980332,-0.655515,-0.540696,0.00478615,Neant,All,#4682B4,0
0,32,-0.038526,-3.3276,-0.297917,9.08958,-0.00352398,0.457172,0.568014,0.19719,Neant,All,#4682B4,0
1,32,0.0885375,-4.41617,-0.753034,8.84113,0.123539,-0.6314,0.112898,-0.051253,Neant,All,#4682B4,0
2,32,0.0883395,-3.37203,-0.352738,8.80191,0.123341,0.412743,0.513194,-0.0904819,Neant,All,#4682B4,0
3,32,0.114357,-4.08108,-0.853985,9.01499,0.149359,-0.296313,0.0119466,0.122602,Neant,All,#4682B4,0
4,32,-0.00925059,-3.83441,-0.89927,8.8415,0.0257514,-0.0496381,-0.0333384,-0.0508834,Neant,All,#4682B4,0
5,32,0.029102,-3.5453,0.0248691,8.74432,0.064104,0.239472,0.890801,-0.148064,Neant,All,#4682B4,0
6,32,0.0427244,-3.42414,0.0881067,9.07722,0.0777264,0.360633,0.954038,0.184829,Neant,All,#4682B4,0
7,32,0.0355703,-3.7245,-0.826281,9.12687,0.0705723,0.0602686,0.0396504,0.23448,Neant,All,#4682B4,0
8,32,0.0558771,-3.91672,-0.145703,8.79386,0.0908791,-0.131952,0.720229,-0.0985282,Neant,All,#4682B4,0
9,32,-0.152332,-4.58287,-1.23459,8.90973,-0.11733,-0.798095,-0.368661,0.0173374,Neant,All,#4682B4,0
10,32,-0.0898861,-4.54508,-0.995833,8.7775,-0.0548841,-0.760306,-0.129901,-0.114887,Neant,All,#4682B4,0
11,32,0.0890759,-3.75449,-1.02696,9.05596,0.124078,0.0302798,-0.161024,0.163567,Neant,All,#4682B4,0
12,32,0.00274327,-4.38467,-0.848481,9.15332,0.0377453,-0.599899,0.0174509,0.260927,Neant,All,#4682B4,0
13,32,-0.0699243,-3.37012,-0.305889,8.81098,-0.0349223,0.414647,0.560043,-0.0814098,Neant,All,#4682B4,0
14,32,0.117357,-3.32555,-0.515267,8.88189,0.152359,0.459221,0.350664,-0.0104992,Neant,All,#4682B4,0
15,32,-0.0154715,-2.78295,-0.692911,8.8613,0.0195305,1.00182,0.173021,-0.0310927,Neant,All,#4682B4,0
16,32,0.0252554,-4.21238,-0.782813,8.84979,0.0602574,-0.427612,0.0831183,-0.0425992,Neant,All,#4682B4,0
17,32,-0.0422109,-3.51949,-0.581977,8.88517,-0.00720895,0.265287,0.283954,-0.00722003,Neant,All,#4682B4,0
18,32,0.0384093,-3.74606,-0.482677,8.87496,0.0734113,0.0387122,0.383254,-0.0174231,Neant,All,#4682B4,0
19,32,0.00417962,-3.41814,-0.944637,8.7876,0.0391816,0.366634,-0.0787052,-0.10479,Neant,All,#4682B4,0
20,32,0.0593529,-4.03454,-1.12535,8.80188,0.0943549,-0.24977,-0.25942,-0.0905077,Neant,All,#4682B4,0
0,33,-0.117582,-3.58548,-1.52117,8.75266,-0.0825798,0.199291,-0.655237,-0.139733,Neant,All,#4682B4,0
1,33,-0.0393885,-3.75811,-1.48744,8.65314,-0.00438649,0.0266593,-0.621504,-0.239249,Neant,All,#4682B4,0
2,33,0.0995429,-3.51425,-1.5028,8.9308,0.134545,0.27052,-0.636867,0.0384172,Neant,All,#4682B4,0
3,33,-0.0841382,-3.7851,-1.74664,8.997,-0.0491362,-0.000329963,-0.880713,0.104613,Neant,All,#4682B4,0
4,33,-0.0812954,-3.55371,-1.22624,8.52561,-0.0462934,0.231066,-0.360305,-0.366773,Neant,All,#4682B4,0
5,33,0.0705334,-3.75063,-2.15004,8.67355,0.105535,0.0341445,-1.28411,-0.218839,Neant,All,#4682B4,0
6,33,-0.0244298,-3.37439,-1.77882,8.9106,0.0105722,0.410382,-0.912885,0.0182078,Neant,All,#4682B4,0
7,33,-0.0423555,-4.21657,-1.29049,8.94279,-0.0073535,-0.431796,-0.424563,0.0504035,Neant,All,#4682B4,0
8,33,-0.0497338,-3.9485,-1.02844,9.10288,-0.0147318,-0.163731,-0.162513,0.210494,Neant,All,#4682B4,0
9,33,0.00313257,-4.00025,-0.666141,9.05019,0.0381346,-0.215482,0.19979,0.157807,Neant,All,#4682B4,0
10,33,-0.0780328,-3.77025,-1.93214,8.80335,-0.0430308,0.0145187,-1.06621,-0.0890339,Neant,All,#4682B4,0
11,33,-0.0102295,-4.30043,-1.77465,8.8731,0.0247725,-0.515662,-0.908718,-0.0192898,Neant,All,#4682B4,0
12,33,-0.130391,-2.94945,-1.43184,8.80456,-0.0953886,0.835325,-0.565909,-0.0878325,Neant,All,#4682B4,0
13,33,-0.0579238,-4.00701,-1.41776,8.94447,-0.0229218,-0.22224,-0.55183,0.05208,Neant,All,#4682B4,0
14,33,0.0342847,-2.99049,-0.748004,8.95588,0.0692867,0.794283,0.117928,0.0634951,Neant,All,#4682B4,0
15,33,-0.0324295,-4.1461,-1.36091,8.86914,0.00257248,-0.361323,-0.494978,-0.023245,Neant,All,#4682B4,0
16,33,-0.0618311,-3.96026,-1.27996,8.97331,-0.0268291,-0.175488,-0.414032,0.0809256,Neant,All,#4682B4,0
17,33,-0.0814527,-4.33774,-1.02751,8.87006,-0.0464507,-0.552965,-0.161583,-0.0223252,Neant,All,#4682B4,0
18,33,-0.0747899,-3.78386,-1.6053,9.08978,-0.0397879,0.000915798,-0.739367,0.197391,Neant,All,#4682B4,0
19,33,-0.00698938,-3.17544,-1.60406,8.98211,0.0280126,0.609334,-0.738129,0.0897205,Neant,All,#4682B4,0
20,33,-0.0379394,-3.06868,-1.56631,8.83447,-0.00293739,0.716093,-0.700378,-0.0579156,Neant,All,#4682B4,0
0,34,0.039692,-4.057,-0.631399,9.01233,0.074694,-0.272225,0.234533,0.119945,Neant,All,#4682B4,0
1,34,-0.0136158,-3.90573,-0.766863,9.00159,0.0213862,-0.120954,0.0990689,0.109203,Neant,All,#4682B4,0
2,34,-0.138637,-3.67376,-1.25496,8.71543,-0.103635,0.111016,-0.38903,-0.176958,Neant,All,#4682B4,0
3,34,-0.01807,-3.41947,-0.53568,9.02733,0.016932,0.365305,0.330252,0.134939,Neant,All,#4682B4,0
4,34,-0.110566,-4.06826,-0.752587,9.08163,-0.0755644,-0.283483,0.113345,0.18924,Neant,All,#4682B4,0
5,34,0.0687873,-3.77439,-0.983487,8.5749,0.103789,0.0103834,-0.117556,-0.317492,Neant,All,#4682B4,0
6,34,0.0983854,-3.73404,0.292721,8.93444,0.133387,0.0507315,1.15865,0.0420542,Neant,All,#4682B4,0
7,34,0.000401631,-3.30495,-0.650324,8.78374,0.0354036,0.479827,0.215607,-0.108643,Neant,All,#4682B4,0
8,34,-0.127186,-3.9366,-0.753053,9.25163,-0.0921839,-0.151828,0.112879,0.359239,Neant,All,#4682B4,0
9,34,0.0456873,-3.74064,-0.271957,8.68852,0.0806893,0.0441274,0.593975,-0.203871,Neant,All,#4682B4,0
10,34,-0.112821,-3.42445,-0.801954,8.77568,-0.0778189,0.360325,0.0639776,-0.116711,Neant,All,#4682B4,0
11,34,0.00455425,-4.23658,-0.628058,8.80351,0.0395562,-0.451809,0.237874,-0.0888779,Neant,All,#4682B4,0
12,34,-0.161278,-3.86425,-0.860863,8.99676,-0.126276,-0.0794758,0.00506891,0.104369,Neant,All,#4682B4,0
13,34,-0.0783522,-4.00708,-1.04465,8.89257,-0.0433502,-0.222312,-0.178716,0.000185974,Neant,All,#4682B4,0
14,34,-0.117466,-2.55744,-0.888518,8.76305,-0.0824636,1.22734,-0.022586,-0.129335,Neant,All,#4682B4,0
15,34,0.0109828,-4.40062,-0.957297,8.91431,0.0459848,-0.615852,-0.0913652,0.0219217,Neant,All,#4682B4,0
16,34,-0.0656765,-3.53132,-0.793584,8.73088,-0.0306745,0.253456,0.0723479,-0.161511,Neant,All,#4682B4,0
17,34,-0.0275737,-3.87807,-1.04388,8.75649,0.00742826,-0.093302,-0.177953,-0.135899,Neant,All,#4682B4,0
18,34,-0.0264853,-3.88884,-0.0897148,8.99676,0.00851674,-0.104072,0.776217,0.104374,Neant,All,#4682B4,0
19,34,-0.00422361,-3.91838,-0.895535,8.68236,0.0307784,-0.133611,-0.0296029,-0.210029,Neant,All,#4682B4,0
20,34,0.0433856,-3.84541,-0.184275,8.95795,0.0783876,-0.0606351,0.681657,0.0655618,Neant,All,#4682B4,0
0,35,0.0267757,-3.85528,-0.740771,8.90186,0.0617777,-0.0705059,0.125161,0.00947695,Neant,All,#4682B4,0
1,35,0.0445844,-3.8293,-0.65237,9.05808,0.0795864,-0.0445297,0.213562,0.165689,Neant,All,#4682B4,0
2,35,0.0696355,-3.67842,-0.824209,9.0106,0.104638,0.106354,0.041723,0.11821,Neant,All,#4682B4,0
3,35,-0.042893,-3.31965,-0.773749,8.95163,-0.00789099,0.465118,0.0921825,0.0592392,Neant,All,#4682B4,0
4,35,0.00889095,-3.9855,-1.05247,8.85272,0.0438929,-0.200725,-0.186538,-0.0396706,Neant,All,#4682B4,0
5,35,-0.00501093,-3.5611,-0.692707,8.8759,0.0299911,0.223671,0.173225,-0.0164902,Neant,All,#4682B4,0
6,35,-0.0200375,-3.91081,-0.315476,9.12211,0.0149645,-0.126035,0.550456,0.229726,Neant,All,#4682B4,0
7,35,0.00623403,-3.67245,-0.913496,9.07755,0.041236,0.112326,-0.0475642,0.185159,Neant,All,#4682B4,0
8,35,-0.0634367,-4.04176,-0.599882,8.8824,-0.0284347,-0.256984,0.26605,-0.00998771,Neant,All,#4682B4,0
9,35,0.0171108,-3.74196,-0.487058,9.03599,0.0521128,0.0428097,0.378874,0.143599,Neant,All,#4682B4,0
10,35,0.0788653,-3.57156,0.386508,8.97197,0.113867,0.213211,1.25244,0.0795797,Neant,All,#4682B4,0
11,35,0.0132181,-3.90378,-0.700521,8.6343,0.0482201,-0.119012,0.16541,-0.258086,Neant,All,#4682B4,0
12,35,-0.0174936,-3.52585,-0.734044,9.01775,0.0175084,0.258922,0.131887,0.125363,Neant,All,#4682B4,0
13,35,-0.0706482,-3.21569,-0.496953,8.88531,-0.0356462,0.569084,0.368978,-0.00707557,Neant,All,#4682B4,0
14,35,-0.0376661,-4.2218,-0.567661,8.86814,-0.00266414,-0.437032,0.29827,-0.0242459,Neant,All,#4682B4,0
15,35,-0.0670931,-3.4338,-0.30309,8.88152,-0.0320911,0.350976,0.562841,-0.0108652,Neant,All,#4682B4,0
16,35,0.0668472,-3.60869,-0.476313,8.92441,0.101849,0.176083,0.389619,0.0320209,Neant,All,#4682B4,0
17,35,-0.0867162,-4.37007,-1.13736,8.98348,-0.0517142,-0.585299,-0.271432,0.0910888,Neant,All,#4682B4,0
18,35,-0.000151446,-4.33041,-0.769382,8.82105,0.0348506,-0.545642,0.0965501,-0.0713348,Neant,All,#4682B4,0
19,35,0.0522806,-3.65841,-0.614605,8.85748,0.0872826,0.126361,0.251327,-0.0349033,Neant,All,#4682B4,0
20,35,-0.0305741,-3.25898,-0.640364,9.04668,0.00442792,0.525788,0.225567,0.154294,Neant,All,#4682B4,0
0,36,-0.000207267,-4.07751,-1.36876,8.77736,0.0347947,-0.292742,-0.50283,-0.115023,Neant,All,#4682B4,0
1,36,0.0828391,-3.55334,-1.3388,8.80978,0.117841,0.231432,-0.472864,-0.0826046,Neant,All,#4682B4,0
2,36,-0.0816215,-3.17153,-1.80227,9.06818,-0.0466195,0.613245,-0.936334,0.175794,Neant,All,#4682B4,0
3,36,-0.153298,-3.39078,-2.00462,8.87106,-0.118296,0.393988,-1.13869,-0.0213321,Neant,All,#4682B4,0
4,36,-0.0618279,-3.28152,-1.63052,9.10407,-0.0268259,0.503253,-0.764591,0.211677,Neant,All,#4682B4,0
5,36,0.0446259,-3.18045,-1.34563,8.89445,0.0796279,0.604326,-0.479694,0.00206226,Neant,All,#4682B4,0
6,36,0.153836,-3.70106,-1.73322,8.91393,0.188838,0.0837163,-0.867291,0.0215433,Neant,All,#4682B4,0
7,36,-0.0105055,-3.9841,-1.36632,9.09734,0.0244965,-0.199327,-0.500384,0.204949,Neant,All,#4682B4,0
8,36,-0.0791925,-3.1508,-1.35083,9.0117,-0.0441905,0.633975,-0.484901,0.11931,Neant,All,#4682B4,0
9,36,0.00219215,-3.23922,-2.12262,8.88085,0.0371941,0.545549,-1.25669,-0.0115383,Neant,All,#4682B4,0
10,36,-0.0575078,-3.55675,-2.91779,8.89554,-0.0225058,0.228024,-2.05186,0.00315311,Neant,All,#4682B4,0
11,36,0.0911272,-3.24568,-1.70457,8.85178,0.126129,0.53909,-0.838642,-0.0406109,Neant,All,#4682B4,0
12,36,0.151607,-3.44578,-0.843398,9.08886,0.186609,0.338993,0.0225336,0.196468,Neant,All,#4682B4,0
13,36,-0.0411634,-2.81794,-1.71176,8.73118,-0.00616142,0.966829,-0.845824,-0.161212,Neant,All,#4682B4,0
14,36,-0.019947,-3.77774,-2.08682,8.64502,0.015055,0.00703053,-1.22089,-0.247369,Neant,All,#4682B4,0
15,36,0.0600549,-3.95231,-2.1094,8.77642,0.0950569,-0.167541,-1.24347,-0.115964,Neant,All,#4682B4,0
16,36,-0.0122681,-4.13309,-1.68892,8.83599,0.0227339,-0.348315,-0.822991,-0.0563966,Neant,All,#4682B4,0
17,36,-0.0583138,-3.99782,-1.64095,9.09419,-0.0233118,-0.213052,-0.775021,0.2018,Neant,All,#4682B4,0
18,36,0.0547401,-4.42229,-1.92618,9.04642,0.0897421,-0.637518,-1.06025,0.154033,Neant,All,#4682B4,0
19,36,0.0949937,-3.57311,-1.22363,9.17356,0.129996,0.211658,-0.357702,0.281171,Neant,All,#4682B4,0
20,36,-0.0802568,-3.53437,-2.05488,8.69734,-0.0452548,0.250402,-1.18895,-0.195052,Neant,All,#4682B4,0
0,37,-0.0210873,-3.71658,-1.66513,8.99407,0.0139147,0.0681892,-0.799197,0.101684,Neant,All,#4682B4,0
1,37,-0.0339622,-4.03883,-1.36855,8.64021,0.00103981,-0.254059,-0.502614,-0.252175,Neant,All,#4682B4,0
2,37,-0.109499,-3.55679,-0.556608,9.24701,-0.0744973,0.227984,0.309324,0.354621,Neant,All,#4682B4,0
3,37,-0.0418205,-3.15828,-0.687188,9.08194,-0.00681846,0.626489,0.178743,0.189556,Neant,All,#4682B4,0
4,37,-0.0385048,-3.41871,-0.671451,8.86221,-0.00350284,0.366063,0.194481,-0.0301783,Neant,All,#4682B4,0
5,37,-0.0537177,-3.96,-1.00349,8.85598,-0.0187157,-0.175227,-0.137559,-0.0364062,Neant,All,#4682B4,0
6,37,-0.103804,-3.57737,-1.0946,8.77253,-0.0688017,0.207398,-0.228666,-0.119857,Neant,All,#4682B4,0
7,37,-0.0753595,-3.3774,-0.884708,8.75512,-0.0403575,0.407376,-0.0187759,-0.137268,Neant,All,#4682B4,0
8,37,0.00657184,-4.14628,-0.892104,8.89138,0.0415738,-0.36151,-0.0261719,-0.00101257,Neant,All,#4682B4,0
9,37,-0.0194328,-4.2551,0.512306,9.38275,0.0155692,-0.47033,1.37824,0.490364,Neant,All,#4682B4,0
10,37,-0.156432,-3.84845,-0.620035,8.8179,-0.12143,-0.0636795,0.245896,-0.0744918,Neant,All,#4682B4,0
11,37,-0.112203,-4.18348,-0.716348,9.00584,-0.077201,-0.398703,0.149584,0.113456,Neant,All,#4682B4,0
12,37,0.0568528,-3.30465,-1.3631,9.00627,0.0918548,0.480122,-0.497168,0.113887,Neant,All,#4682B4,0
13,37,0.071103,-3.96819,0.364491,9.08058,0.106105,-0.183413,1.23042,0.188195,Neant,All,#4682B4,0
14,37,-0.041639,-3.52438,-0.429518,8.8454,-0.00663703,0.260397,0.436414,-0.0469872,Neant,All,#4682B4,0
15,37,-0.163828,-3.76919,-1.28352,9.0685,-0.128826,0.0155847,-0.417586,0.176108,Neant,All,#4682B4,0
16,37,0.0591075,-3.31636,-0.843888,8.76582,0.0941095,0.468411,0.0220439,-0.126567,Neant,All,#4682B4,0
17,37,-0.208645,-3.63316,-0.992857,8.9761,-0.173643,0.151612,-0.126926,0.0837096,Neant,All,#4682B4,0
18,37,0.0113717,-3.14835,-0.80033,8.69319,0.0463737,0.636418,0.0656015,-0.199194,Neant,All,#4682B4,0
19,37,-0.112741,-3.82981,-0.0309546,8.99853,-0.0777394,-0.0450388,0.834977,0.106139,Neant,All,#4682B4,0
20,37,-0.0174142,-3.25607,-0.798098,9.03209,0.0175878,0.528697,0.0678339,0.1397,Neant,All,#4682B4,0
0,38,-0.143309,-4.23899,-1.16221,8.94499,-0.108307,-0.454214,-0.296279,0.0526069,Neant,All,#4682B4,0
1,38,0.019836,-3.28588,0.0807209,8.83668,0.054838,0.49889,0.946653,-0.055707,Neant,All,#4682B4,0
2,38,-0.0808778,-3.40474,-0.5678,8.9833,-0.0458758,0.38003,0.298132,0.0909115,Neant,All,#4682B4,0
3,38,0.0350738,-3.89313,-0.552971,9.16092,0.0700758,-0.108355,0.31296,0.268531,Neant,All,#4682B4,0
4,38,-0.0868647,-4.11808,-0.598573,8.74722,-0.0518627,-0.333308,0.267359,-0.145163,Neant,All,#4682B4,0
5,38,0.152904,-3.80108,-0.321722,8.78836,0.187906,-0.0163054,0.54421,-0.104024,Neant,All,#4682B4,0
6,38,-0.0840223,-3.44178,-0.473151,8.86106,-0.0490203,0.342994,0.392781,-0.0313251,Neant,All,#4682B4,0
7,38,-0.147932,-3.5696,-0.65013,9.21099,-0.11293,0.215176,0.215802,0.3186,Neant,All,#4682B4,0
8,38,-0.0097202,-3.55364,-0.288453,8.9965,0.0252818,0.231135,0.577479,0.104113,Neant,All,#4682B4,0
9,38,-0.0663139,-4.27409,-0.811176,8.86122,-0.0313119,-0.489323,0.0547555,-0.0311683,Neant,All,#4682B4,0
